date,station,id,count
2020-01-01,350,350_4,1971
2020-01-01,354,354_4,1661
2020-01-02,350,350_5,2130
2020-01-02,354,354_5,2010
2020-01-03,350,350_6,1805
2020-01-03,354,354_6,1394
2020-01-04,350,350_7,1882
2020-01-04,354,354_7,1341
2020-01-05,350,350_1,5300
2020-01-05,354,354_1,3762
2020-01-06,350,350_2,5096
2020-01-06,354,354_2,4166
2020-01-07,350,350_3,5356
2020-01-07,354,354_3,4279
2020-01-08,350,350_4,5663
2020-01-08,354,354_4,4472
2020-01-09,350,350_5,4979
2020-01-09,354,354_5,4066
2020-01-10,350,350_6,2542
2020-01-10,354,354_6,2039
2020-01-11,350,350_7,1978
2020-01-11,354,354_7,1538
2020-01-12,350,350_1,5300
2020-01-12,354,354_1,4367
2020-01-13,350,350_2,5743
2020-01-13,354,354_2,4536
2020-01-14,350,350_3,5785
2020-01-14,354,354_3,4651
2020-01-15,350,350_4,5880
2020-01-15,354,354_4,4774
2020-01-16,350,350_5,4524
2020-01-16,354,354_5,3592
2020-01-17,350,350_6,2303
2020-01-17,354,354_6,2188
2020-01-18,350,350_7,1611
2020-01-18,354,354_7,1456
2020-01-19,350,350_1,5225
2020-01-19,354,354_1,4126
2020-01-20,350,350_2,5356
2020-01-20,354,354_2,4381
2020-01-21,350,350_3,4965
2020-01-21,354,354_3,4149
2020-01-22,350,350_4,5098
2020-01-22,354,354_4,4221
2020-01-23,350,350_5,4803
2020-01-23,354,354_5,3712
2020-01-24,350,350_6,2365
2020-01-24,354,354_6,1956
2020-01-25,350,350_7,1703
2020-01-25,354,354_7,1422
2020-01-26,350,350_1,5304
2020-01-26,354,354_1,3935
2020-01-27,350,350_2,4504
2020-01-27,354,354_2,3466
2020-01-28,350,350_3,4677
2020-01-28,354,354_3,3506
2020-01-29,350,350_4,5340
2020-01-29,354,354_4,4095
2020-01-30,350,350_5,5018
2020-01-30,354,354_5,3967
2020-01-31,350,350_6,2187
2020-01-31,354,354_6,1837
2020-02-01,350,350_7,1418
2020-02-01,354,354_7,1246
2020-02-02,350,350_1,4616
2020-02-02,354,354_1,3451
2020-02-03,350,350_2,4472
2020-02-03,354,354_2,3389
2020-02-04,350,350_3,5530
2020-02-04,354,354_3,4153
2020-02-05,350,350_4,5374
2020-02-05,354,354_4,4286
2020-02-06,350,350_5,5660
2020-02-06,354,354_5,3681
2020-02-07,350,350_6,2476
2020-02-07,354,354_6,1872
2020-02-08,350,350_7,2318
2020-02-08,354,354_7,1599
2020-02-09,350,350_1,3053
2020-02-09,354,354_1,2472
2020-02-10,350,350_2,4185
2020-02-10,354,354_2,3287
2020-02-11,350,350_3,5441
2020-02-11,354,354_3,4094
2020-02-12,350,350_4,4964
2020-02-12,354,354_4,3649
2020-02-13,350,350_5,4823
2020-02-13,354,354_5,3544
2020-02-14,350,350_6,3115
2020-02-14,354,354_6,2213
2020-02-15,350,350_7,2684
2020-02-15,354,354_7,1870
2020-02-16,350,350_1,4871
2020-02-16,354,354_1,3680
2020-02-17,350,350_2,5757
2020-02-17,354,354_2,4625
2020-02-18,350,350_3,5254
2020-02-18,354,354_3,4103
2020-02-19,350,350_4,5929
2020-02-19,354,354_4,4959
2020-02-20,350,350_5,5366
2020-02-20,354,354_5,4116
2020-02-21,350,350_6,2811
2020-02-21,354,354_6,1988
2020-02-22,350,350_7,1886
2020-02-22,354,354_7,1447
2020-02-23,350,350_1,5309
2020-02-23,354,354_1,3726
2020-02-24,350,350_2,4593
2020-02-24,354,354_2,3373
2020-02-25,350,350_3,4110
2020-02-25,354,354_3,2967
2020-02-26,350,350_4,3944
2020-02-26,354,354_4,2826
2020-02-27,350,350_5,4317
2020-02-27,354,354_5,3069
2020-02-28,350,350_6,1902
2020-02-28,354,354_6,1299
2020-02-29,350,350_7,1975
2020-02-29,354,354_7,1372
2020-03-01,350,350_1,4099
2020-03-01,354,354_1,1765
2020-03-02,350,350_2,4411
2020-03-02,354,354_2,2996
2020-03-03,350,350_3,4099
2020-03-03,354,354_3,3077
2020-03-04,350,350_4,3389
2020-03-04,354,354_4,2266
2020-03-05,350,350_5,3606
2020-03-05,354,354_5,2542
2020-03-06,350,350_6,2431
2020-03-06,354,354_6,1669
2020-03-07,350,350_7,2479
2020-03-07,354,354_7,1637
2020-03-08,350,350_1,4867
2020-03-08,354,354_1,3851
2020-03-09,350,350_2,4131
2020-03-09,354,354_2,3409
2020-03-10,350,350_3,5572
2020-03-10,354,354_3,4554
2020-03-11,350,350_4,5351
2020-03-11,354,354_4,4349
2020-03-12,350,350_5,4897
2020-03-12,354,354_5,4014
2020-03-13,350,350_6,2782
2020-03-13,354,354_6,1870
2020-03-14,350,350_7,3558
2020-03-14,354,354_7,1870
2020-03-15,350,350_1,4934
2020-03-15,354,354_1,3683
2020-03-16,350,350_2,4240
2020-03-16,354,354_2,2841
2020-03-17,350,350_3,4569
2020-03-17,354,354_3,2814
2020-03-18,350,350_4,4448
2020-03-18,354,354_4,2704
2020-03-19,350,350_5,4087
2020-03-19,354,354_5,2432
2020-03-20,350,350_6,1587
2020-03-20,354,354_6,944
2020-03-21,350,350_7,2312
2020-03-21,354,354_7,1003
2020-03-22,350,350_1,3283
2020-03-22,354,354_1,1974
2020-03-23,350,350_2,3272
2020-03-23,354,354_2,2055
2020-03-24,350,350_3,3449
2020-03-24,354,354_3,2054
2020-03-25,350,350_4,3094
2020-03-25,354,354_4,2050
2020-03-26,350,350_5,3400
2020-03-26,354,354_5,2189
2020-03-27,350,350_6,3048
2020-03-27,354,354_6,1605
2020-03-28,350,350_7,1231
2020-03-28,354,354_7,641
2020-03-29,350,350_1,2729
2020-03-29,354,354_1,1740
2020-03-30,350,350_2,4852
2020-03-30,354,354_2,2116
2020-03-31,350,350_3,3681
2020-03-31,354,354_3,2296
2020-04-01,350,350_4,3881
2020-04-01,354,354_4,2424
2020-04-02,350,350_5,3917
2020-04-02,354,354_5,2343
2020-04-03,350,350_6,3362
2020-04-03,354,354_6,1632
2020-04-04,350,350_7,3572
2020-04-04,354,354_7,1684
2020-04-05,350,350_1,4166
2020-04-05,354,354_1,2464
2020-04-06,350,350_2,4852
2020-04-06,354,354_2,2526
2020-04-07,350,350_3,4682
2020-04-07,354,354_3,2688
2020-04-08,350,350_4,4569
2020-04-08,354,354_4,2598
2020-04-09,350,350_5,3881
2020-04-09,354,354_5,1816
2020-04-10,350,350_6,3886
2020-04-10,354,354_6,2046
2020-04-11,350,350_7,3537
2020-04-11,354,354_7,1659
2020-04-12,350,350_1,3866
2020-04-12,354,354_1,1806
2020-04-13,350,350_2,3953
2020-04-13,354,354_2,2392
2020-04-14,350,350_3,4624
2020-04-14,354,354_3,2523
2020-04-15,350,350_4,4836
2020-04-15,354,354_4,2783
2020-04-16,350,350_5,5086
2020-04-16,354,354_5,2910
2020-04-17,350,350_6,4646
2020-04-17,354,354_6,2274
2020-04-18,350,350_7,3998
2020-04-18,354,354_7,1928
2020-04-19,350,350_1,4800
2020-04-19,354,354_1,2736
2020-04-20,350,350_2,4575
2020-04-20,354,354_2,2794
2020-04-21,350,350_3,5178
2020-04-21,354,354_3,3069
2020-04-22,350,350_4,4575
2020-04-22,354,354_4,3128
2020-04-23,350,350_5,5731
2020-04-23,354,354_5,3178
2020-04-24,350,350_6,4546
2020-04-24,354,354_6,2384
2020-04-25,350,350_7,3576
2020-04-25,354,354_7,1825
2020-04-26,350,350_1,5286
2020-04-26,354,354_1,3222
2020-04-27,350,350_2,3549
2020-04-27,354,354_2,2472
2020-04-28,350,350_3,4189
2020-04-28,354,354_3,2705
2020-04-29,350,350_4,3066
2020-04-29,354,354_4,2124
2020-04-30,350,350_5,2321
2020-04-30,354,354_5,1227
2020-05-01,350,350_6,2088
2020-05-01,354,354_6,1203
2020-05-02,350,350_7,3971
2020-05-02,354,354_7,1939
2020-05-03,350,350_1,5628
2020-05-03,354,354_1,3267
2020-05-04,350,350_2,3446
2020-05-04,354,354_2,2336
2020-05-05,350,350_3,5155
2020-05-05,354,354_3,3284
2020-05-06,350,350_4,3066
2020-05-06,354,354_4,3694
2020-05-07,350,350_5,6382
2020-05-07,354,354_5,3601
2020-05-08,350,350_6,4962
2020-05-08,354,354_6,2725
2020-05-09,350,350_7,4319
2020-05-09,354,354_7,2244
2020-05-10,350,350_1,3326
