date,station,id,count
2020-01-01,802,802_4,2744
2020-01-01,816,816_4,1904
2020-01-01,911,911_4,1279
2020-01-01,916,916_4,1946
2020-01-02,802,802_5,2983
2020-01-02,816,816_5,2187
2020-01-02,911,911_5,996
2020-01-02,916,916_5,1993
2020-01-03,802,802_6,3029
2020-01-03,816,816_6,1906
2020-01-03,911,911_6,1043
2020-01-03,916,916_6,1832
2020-01-04,802,802_7,2234
2020-01-04,816,816_7,1267
2020-01-04,911,911_7,2711
2020-01-04,916,916_7,785
2020-01-05,802,802_1,3518
2020-01-05,816,816_1,2791
2020-01-05,911,911_1,1269
2020-01-05,916,916_1,2269
2020-01-06,802,802_2,3570
2020-01-06,816,816_2,2532
2020-01-06,911,911_2,1081
2020-01-06,916,916_2,2026
2020-01-07,802,802_3,3321
2020-01-07,816,816_3,2531
2020-01-07,911,911_3,1285
2020-01-07,916,916_3,2074
2020-01-08,802,802_4,3388
2020-01-08,816,816_4,2725
2020-01-08,911,911_4,1493
2020-01-08,916,916_4,2116
2020-01-09,802,802_5,3665
2020-01-09,816,816_5,2628
2020-01-09,911,911_5,1148
2020-01-09,916,916_5,2115
2020-01-10,802,802_6,3338
2020-01-10,816,816_6,2178
2020-01-10,911,911_6,1524
2020-01-10,916,916_6,1825
2020-01-11,802,802_7,2182
2020-01-11,816,816_7,1132
2020-01-11,911,911_7,2393
2020-01-11,916,916_7,797
2020-01-12,802,802_1,3602
2020-01-12,816,816_1,2447
2020-01-12,911,911_1,1231
2020-01-12,916,916_1,1976
2020-01-13,802,802_2,3612
2020-01-13,816,816_2,2738
2020-01-13,911,911_2,1450
2020-01-13,916,916_2,2156
2020-01-14,802,802_3,3510
2020-01-14,816,816_3,2531
2020-01-14,911,911_3,2312
2020-01-14,916,916_3,2157
2020-01-15,802,802_4,3714
2020-01-15,816,816_4,2489
2020-01-15,911,911_4,1634
2020-01-15,916,916_4,2173
2020-01-16,802,802_5,3388
2020-01-16,816,816_5,2600
2020-01-16,911,911_5,912
2020-01-16,916,916_5,1873
2020-01-17,802,802_6,3591
2020-01-17,816,816_6,1997
2020-01-17,911,911_6,1411
2020-01-17,916,916_6,1967
2020-01-18,802,802_7,2262
2020-01-18,816,816_7,931
2020-01-18,911,911_7,2052
2020-01-18,916,916_7,688
2020-01-19,802,802_1,3382
2020-01-19,816,816_1,2364
2020-01-19,911,911_1,1263
2020-01-19,916,916_1,2115
2020-01-20,802,802_2,3235
2020-01-20,816,816_2,2521
2020-01-20,911,911_2,1427
2020-01-20,916,916_2,2179
2020-01-21,802,802_3,3005
2020-01-21,816,816_3,2459
2020-01-21,911,911_3,1166
2020-01-21,916,916_3,2191
2020-01-22,802,802_4,3288
2020-01-22,816,816_4,2507
2020-01-22,911,911_4,1114
2020-01-22,916,916_4,2070
2020-01-23,802,802_5,3631
2020-01-23,816,816_5,2577
2020-01-23,911,911_5,1196
2020-01-23,916,916_5,2169
2020-01-24,802,802_6,3812
2020-01-24,816,816_6,2251
2020-01-24,911,911_6,1359
2020-01-24,916,916_6,1797
2020-01-25,802,802_7,2296
2020-01-25,816,816_7,1020
2020-01-25,911,911_7,2248
2020-01-25,916,916_7,687
2020-01-26,802,802_1,3405
2020-01-26,816,816_1,2524
2020-01-26,911,911_1,1188
2020-01-26,916,916_1,2058
2020-01-27,802,802_2,3016
2020-01-27,816,816_2,2275
2020-01-27,911,911_2,851
2020-01-27,916,916_2,1908
2020-01-28,802,802_3,3138
2020-01-28,816,816_3,2406
2020-01-28,911,911_3,1042
2020-01-28,916,916_3,1911
2020-01-29,802,802_4,3499
2020-01-29,816,816_4,2597
2020-01-29,911,911_4,1447
2020-01-29,916,916_4,2001
2020-01-30,802,802_5,3910
2020-01-30,816,816_5,2589
2020-01-30,911,911_5,1279
2020-01-30,916,916_5,1908
2020-01-31,802,802_6,3727
2020-01-31,816,816_6,2489
2020-01-31,911,911_6,1460
2020-01-31,916,916_6,1782
2020-02-01,802,802_7,2423
2020-02-01,816,816_7,1091
2020-02-01,911,911_7,1632
2020-02-01,916,916_7,814
2020-02-02,802,802_1,3424
2020-02-02,816,816_1,2276
2020-02-02,911,911_1,1046
2020-02-02,916,916_1,1882
2020-02-03,802,802_2,3089
2020-02-03,816,816_2,2279
2020-02-03,911,911_2,1081
2020-02-03,916,916_2,1965
2020-02-04,802,802_3,3374
2020-02-04,816,816_3,2673
2020-02-04,911,911_3,1631
2020-02-04,916,916_3,2464
2020-02-05,802,802_4,3382
2020-02-05,816,816_4,2822
2020-02-05,911,911_4,1710
2020-02-05,916,916_4,2132
2020-02-06,802,802_5,3801
2020-02-06,816,816_5,2930
2020-02-06,911,911_5,1654
2020-02-06,916,916_5,2306
2020-02-07,802,802_6,3811
2020-02-07,816,816_6,2338
2020-02-07,911,911_6,1750
2020-02-07,916,916_6,2082
2020-02-08,802,802_7,2638
2020-02-08,816,816_7,1254
2020-02-08,911,911_7,2864
2020-02-08,916,916_7,821
2020-02-09,802,802_1,3045
2020-02-09,816,816_1,2022
2020-02-09,911,911_1,805
2020-02-09,916,916_1,1767
2020-02-10,802,802_2,3010
2020-02-10,816,816_2,2167
2020-02-10,911,911_2,947
2020-02-10,916,916_2,1965
2020-02-11,802,802_3,3330
2020-02-11,816,816_3,2479
2020-02-11,911,911_3,1502
2020-02-11,916,916_3,2123
2020-02-12,802,802_4,3157
2020-02-12,816,816_4,2500
2020-02-12,911,911_4,997
2020-02-12,916,916_4,1756
2020-02-13,802,802_5,3801
2020-02-13,816,816_5,2719
2020-02-13,911,911_5,1270
2020-02-13,916,916_5,2129
2020-02-14,802,802_6,3886
2020-02-14,816,816_6,2914
2020-02-14,911,911_6,2245
2020-02-14,916,916_6,1900
2020-02-15,802,802_7,2594
2020-02-15,816,816_7,1254
2020-02-15,911,911_7,3607
2020-02-15,916,916_7,919
2020-02-16,802,802_1,3093
2020-02-16,816,816_1,2311
2020-02-16,911,911_1,917
2020-02-16,916,916_1,1852
2020-02-17,802,802_2,3360
2020-02-17,816,816_2,2626
2020-02-17,911,911_2,1545
2020-02-17,916,916_2,2135
2020-02-18,802,802_3,3216
2020-02-18,816,816_3,2419
2020-02-18,911,911_3,1359
2020-02-18,916,916_3,1974
2020-02-19,802,802_4,3556
2020-02-19,816,816_4,2802
2020-02-19,911,911_4,1686
2020-02-19,916,916_4,1874
2020-02-20,802,802_5,3757
2020-02-20,816,816_5,2700
2020-02-20,911,911_5,1523
2020-02-20,916,916_5,2032
2020-02-21,802,802_6,3856
2020-02-21,816,816_6,2177
2020-02-21,911,911_6,2192
2020-02-21,916,916_6,1819
2020-02-22,802,802_7,2333
2020-02-22,816,816_7,1016
2020-02-22,911,911_7,2245
2020-02-22,916,916_7,2193
2020-02-23,802,802_1,3343
2020-02-23,816,816_1,2428
2020-02-23,911,911_1,1885
2020-02-23,916,916_1,2057
2020-02-24,802,802_2,2659
2020-02-24,816,816_2,2224
2020-02-24,911,911_2,1031
2020-02-24,916,916_2,2005
2020-02-25,802,802_3,2451
2020-02-25,816,816_3,1984
2020-02-25,911,911_3,899
2020-02-25,916,916_3,2133
