station_id,station_name,description,lat,lon
910,St. Galler-Ring 101,,47.5547969087,7.56717981064
913,Burgfelderstr.,,47.5701340145,7.55901800498
911,Birskopfsteg,,47.5573124226,7.61766084139
912,Elsässerstr. 261/260,,47.5764576004,7.57253703602
659,Schlachthofstr.,,47.5768910793,7.56733883784
660,Flughafenstr.,,47.5747917136,7.56231440605
901,Peter-Merian Weg,,47.5446191677,7.5988300384
906,Hegenheimerstr. 44,,47.5605807094,7.57159540564
904,Hammerstr. 90,,47.564463859,7.59564033524
905,Leimenstr. 4,,47.5552662528,7.58373389584
354,Wettsteinbrücke,,47.5582043167,7.59757945561
403,Heuwaage-Viadukt,,47.5520672107,7.58678282663
405,Dorenbachviadukt,,47.5441974089,7.5771044978
907,Wasgenring 62,,47.5620504111,7.56409617965
909,General Guisan-Str. 104,,47.5496642957,7.56529679655
908,Grenzacherstr.,,47.5620284384,7.62554762928
902,Viaduktstr.,,47.5497772107,7.58334061283
903,Äussere Baselstr. 328,,47.5714743273,7.61889444181
914,Hiltalingerstr.,,47.5862270119,7.59311701056
915,Luzernerring-Brücke,,47.5693030099,7.57023900471
918,Elsässerrheinweg,,47.5754887425,7.58313205232
916,Stückisteg,,47.5794910088,7.59474601042
917,Schwarzwaldbrücke,,47.5574863992,7.61490071809
919,St. Alban-Rheinweg,,47.5551531111,7.60447641087
920,J. Burckhardt-Str.,,47.5454886163,7.59959155718
