id,value
350_1,5300
350_2,5096
350_3,5356
350_4,5374
350_5,4979
350_6,2303
350_7,1703
354_1,8408
354_2,8669
354_3,8792
354_4,9137
354_5,7995
354_6,4267
354_7,2910
403_1,2929
403_2,3083
403_3,3184
403_4,3117
403_5,2833
403_6,1287
403_7,971
405_1,3693
405_2,3671
405_3,3574
405_4,3676
405_5,3274
405_6,1874
405_7,1490
659_1,465
659_2,473
659_3,450
659_4,480
659_5,413
659_6,91
659_7,58
660_1,113
660_2,98
660_3,101
660_4,105
660_5,100
660_6,36
660_7,38
901_1,3880
901_2,4046
901_3,4063
901_4,4076
901_5,3673
901_6,1645
901_7,1252
902_1,3397
902_2,3433
902_3,3541
902_4,3586
902_5,3189
902_6,1797
902_7,1570
