id,value
802_1,3424
802_2,3235
802_3,3321
802_4,3388
802_5,3665
802_6,3591
802_7,2262
803_1,2102
803_2,2166
803_3,2148
803_4,2315
803_5,2521
803_6,2381
803_7,1881
805_1,4888
805_2,5071
805_3,5289
805_4,5310
805_5,4963
805_6,4255
805_7,1805
806_1,8748
806_2,8972
806_3,9891
806_4,10166
806_5,11312
806_6,14453
806_7,5866
807_1,7966
807_2,8190
807_3,8325
807_4,8243
807_5,8381
807_6,6999
807_7,3209
808_1,805
808_2,739
808_3,797
808_4,826
808_5,790
808_6,574
808_7,476
809_1,1729
809_2,1755
809_3,1765
809_4,1836
809_5,1885
809_6,1713
809_7,1063
810_1,1187
810_2,1295
810_3,1090
810_4,1202
810_5,1209
810_6,828
810_7,703
811_1,1291
811_2,1324
811_3,1211
811_4,1395
811_5,1433
811_6,1326
811_7,967
