station_name,station_id,lat,lon
"Adalbertstraße West, Aachen",170,50.77,6.09
"Bürgermeister-Fischer-Straße, Augsburg",102,48.37,10.9
"Annastraße, Augsburg",251,48.37,10.9
"Grüner Markt, Bamberg",118,49.89,10.89
"Hauptstraße, Bergisch-Gladbach",171,50.99,7.13
"Kurfürstendamm Nordseite Ost, Berlin",94,52.5,13.33
"Bürgerturmstraße, Biberach an der Riss",218,48.1,9.79
"Bahnhofstraße Süd, Bielefeld",163,52.02,8.53
"Neustraße, Bocholt",253,51.84,6.62
"Poststraße, Bonn",87,50.73,7.1
"Damm, Braunschweig",130,52.26,10.52
"Obernstraße, Bremen",172,53.08,8.81
"Bahnhofstraße West, Brilon",248,51.4,8.57
"Zöllnerstraße, Celle",254,52.62,10.08
"Schuchardstraße, Darmstadt",103,49.87,8.65
"Prager Straße Nord, Dresden",164,51.05,13.74
"Flinger Straße, Düsseldorf",55,51.23,6.78
"Schlösserstraße, Erfurt",57,50.98,11.03
"Hauptstraße Süd, Erlangen",142,49.6,11
"Kettwiger Straße, Essen",125,51.46,7.01
"Zeil Mitte, Frankfurt",150,50.11,8.68
"Kaiser-Joseph-Straße Mitte, Freiburg",143,47.99,7.85
"Seltersweg, Giessen",122,50.58,8.67
"Weender Straße, Göttingen",244,51.53,9.94
"Spitalerstraße, Hamburg",81,53.55,10
"Georgstraße, Hannover",63,52.37,9.74
"Hauptstraße West, Heidelberg",141,49.41,8.7
"Fleiner Straße, Heilbronn",139,49.14,9.22
"Ludwigstraße, Ingolstadt",123,48.76,11.43
"Löbderstraße, Jena",247,50.93,11.59
"Kaiserstraße Mitte, Karlsruhe",67,49.01,8.4
"Löhrstraße Mitte, Koblenz",86,50.36,7.59
"Schildergasse West, Köln",47,50.94,6.95
"Hochstraße Mitte, Krefeld",144,51.33,6.56
"Hainstraße, Leipzig",69,51.34,12.37
"Werner-Senger-Straße, Limburg",148,50.39,8.06
"Breite Straße Mitte, Lübeck",207,53.87,10.69
"Am Brand, Mainz",85,50,8.27
"Planken West, Mannheim",96,49.49,8.47
"Hindenburgstraße, Mönchengladbach",245,51.2,6.44
"Ludgeristraße, Muenster",117,51.96,7.63
"Neuhauser Straße, München",73,48.14,11.57
"Karolinenstraße, Nürnberg",90,49.45,11.07
"Achternstraße, Oldenburg",210,53.14,8.21
"Große Straße Mitte, Osnabrueck",108,52.27,8.05
"Westernstraße, Paderborn",169,51.72,8.75
"Ludwigstraße, Passau",147,48.57,13.46
"Wilhelmstraße, Reutlingen",134,48.49,9.21
"Kröpeliner Straße West, Rostock",206,54.09,12.13
"Bahnhofstraße, Saarbrücken",75,49.24,6.99
"Königstraße Süd, Stuttgart",76,48.78,9.18
"Brotstraße, Trier",138,49.76,6.64
"Münsterplatz, Ulm",146,48.4,9.99
"Kirchgasse Mitte, Wiesbaden",79,50.08,8.24
"Poststraße, Wuppertal",154,51.26,7.15
"Schönbornstraße, Würzburg",135,49.8,9.93
