station_id,bundeslaender
109,Niedersachsen
170,Nordrhein-Westfalen
102,Bayern
251,Bayern
118,Bayern
171,Nordrhein-Westfalen
97,Berlin
94,Berlin
98,Berlin
218,Baden-Württemberg
163,Nordrhein-Westfalen
161,Nordrhein-Westfalen
162,Nordrhein-Westfalen
253,Nordrhein-Westfalen
51,Nordrhein-Westfalen
52,Nordrhein-Westfalen
87,Nordrhein-Westfalen
127,Niedersachsen
128,Niedersachsen
129,Niedersachsen
132,Niedersachsen
130,Niedersachsen
131,Niedersachsen
126,Niedersachsen
172,Bremen
248,Nordrhein-Westfalen
249,Nordrhein-Westfalen
254,Niedersachsen
103,Hessen
104,Hessen
49,Nordrhein-Westfalen
246,Nordrhein-Westfalen
164,Sachsen
157,Nordrhein-Westfalen
53,Nordrhein-Westfalen
54,Nordrhein-Westfalen
55,Nordrhein-Westfalen
56,Nordrhein-Westfalen
57,Thüringen
142,Bayern
125,Nordrhein-Westfalen
252,Schleswig-Holstein
150,Hessen
58,Hessen
59,Hessen
84,Baden-Württemberg
143,Baden-Württemberg
122,Hessen
244,Niedersachsen
243,Niedersachsen
81,Hamburg
91,Hamburg
92,Hamburg
93,Hamburg
64,Niedersachsen
65,Niedersachsen
63,Niedersachsen
141,Baden-Württemberg
139,Baden-Württemberg
208,Niedersachsen
123,Bayern
247,Thüringen
67,Baden-Württemberg
86,Rheinland-Pfalz
48,Nordrhein-Westfalen
50,Nordrhein-Westfalen
158,Nordrhein-Westfalen
167,Nordrhein-Westfalen
159,Nordrhein-Westfalen
205,Nordrhein-Westfalen
47,Nordrhein-Westfalen
160,Nordrhein-Westfalen
168,Nordrhein-Westfalen
144,Nordrhein-Westfalen
145,Nordrhein-Westfalen
69,Sachsen
68,Sachsen
148,Hessen
207,Schleswig-Holstein
85,Hessen
71,Hessen
72,Hessen
95,Baden-Württemberg
96,Baden-Württemberg
245,Nordrhein-Westfalen
100,Nordrhein-Westfalen
117,Nordrhein-Westfalen
73,Bayern
74,Bayern
165,Bayern
166,Bayern
88,Bayern
89,Bayern
90,Bayern
210,Niedersachsen
209,Niedersachsen
153,Niedersachsen
108,Niedersachsen
110,Niedersachsen
111,Niedersachsen
114,Niedersachsen
116,Niedersachsen
169,Nordrhein-Westfalen
147,Bayern
134,Baden-Württemberg
206,Mecklenburg-Vorpommern
75,Saarland
151,Baden-Württemberg
76,Baden-Württemberg
77,Baden-Württemberg
138,Rheinland-Pfalz
140,Rheinland-Pfalz
255,Rheinland-Pfalz
146,Baden-Württemberg
146,Baden-Württemberg
79,Hessen
79,Hessen
256,Hessen
154,Nordrhein-Westfalen
135,Bayern
