date,count
2019-01-01 00,14.69
2019-01-01 01,23.44
2019-01-01 02,15.34
2019-01-01 03,10.01
2019-01-01 04,6.81
2019-01-01 05,4.26
2019-01-01 06,2.93
2019-01-01 07,4.96
2019-01-01 08,5.58
2019-01-01 09,6.85
2019-01-01 10,10.95
2019-01-01 11,15.91
2019-01-01 12,18.31
2019-01-01 13,21.35
2019-01-01 14,24.61
2019-01-01 15,25.58
2019-01-01 16,25.31
2019-01-01 17,17.38
2019-01-01 18,13.32
2019-01-01 19,11.09
2019-01-01 20,10.35
2019-01-01 21,8.55
2019-01-01 22,6.81
2019-01-01 23,5.45
2019-01-02 00,3.25
2019-01-02 01,2.08
2019-01-02 02,0.92
2019-01-02 03,0.85
2019-01-02 04,1.66
2019-01-02 05,1.91
2019-01-02 06,5.72
2019-01-02 07,18.91
2019-01-02 08,40.32
2019-01-02 09,36.44
2019-01-02 10,17.73
2019-01-02 11,18.44
2019-01-02 12,21.36
2019-01-02 13,22.45
2019-01-02 14,19.95
2019-01-02 15,21.19
2019-01-02 16,26.96
2019-01-02 17,40.00
2019-01-02 18,39.29
2019-01-02 19,23.60
2019-01-02 20,14.71
2019-01-02 21,11.84
2019-01-02 22,8.13
2019-01-02 23,5.62
2019-01-03 00,3.46
2019-01-03 01,2.32
2019-01-03 02,0.98
2019-01-03 03,1.29
2019-01-03 04,1.75
2019-01-03 05,2.08
2019-01-03 06,6.73
2019-01-03 07,21.32
2019-01-03 08,47.01
2019-01-03 09,40.19
2019-01-03 10,21.99
2019-01-03 11,17.91
2019-01-03 12,22.60
2019-01-03 13,22.88
2019-01-03 14,18.13
2019-01-03 15,22.04
2019-01-03 16,28.46
2019-01-03 17,42.40
2019-01-03 18,43.39
2019-01-03 19,26.00
2019-01-03 20,17.13
2019-01-03 21,12.53
2019-01-03 22,10.26
2019-01-03 23,6.22
2019-01-04 00,4.36
2019-01-04 01,2.44
2019-01-04 02,1.09
2019-01-04 03,1.40
2019-01-04 04,1.84
2019-01-04 05,2.14
2019-01-04 06,6.65
2019-01-04 07,19.49
2019-01-04 08,43.21
2019-01-04 09,43.36
2019-01-04 10,22.75
2019-01-04 11,19.51
2019-01-04 12,23.09
2019-01-04 13,25.75
2019-01-04 14,20.41
2019-01-04 15,21.71
2019-01-04 16,28.31
2019-01-04 17,38.92
2019-01-04 18,36.12
2019-01-04 19,22.45
2019-01-04 20,15.14
2019-01-04 21,12.11
2019-01-04 22,7.91
2019-01-04 23,7.20
2019-01-05 00,5.53
2019-01-05 01,3.52
2019-01-05 02,2.40
2019-01-05 03,1.93
2019-01-05 04,1.60
2019-01-05 05,1.27
2019-01-05 06,1.61
2019-01-05 07,3.93
2019-01-05 08,9.84
2019-01-05 09,16.00
2019-01-05 10,20.32
2019-01-05 11,23.00
2019-01-05 12,23.60
2019-01-05 13,24.02
2019-01-05 14,23.22
2019-01-05 15,23.26
2019-01-05 16,22.74
2019-01-05 17,19.80
2019-01-05 18,17.59
2019-01-05 19,14.48
2019-01-05 20,12.22
2019-01-05 21,9.32
2019-01-05 22,8.69
2019-01-05 23,8.26
2019-01-06 00,6.13
2019-01-06 01,4.98
2019-01-06 02,3.58
2019-01-06 03,2.56
2019-01-06 04,2.42
2019-01-06 05,1.93
2019-01-06 06,1.28
2019-01-06 07,3.21
2019-01-06 08,5.46
2019-01-06 09,10.89
2019-01-06 10,16.68
2019-01-06 11,22.24
2019-01-06 12,24.81
2019-01-06 13,27.25
2019-01-06 14,26.54
2019-01-06 15,26.41
2019-01-06 16,26.87
2019-01-06 17,21.65
2019-01-06 18,18.94
2019-01-06 19,14.51
2019-01-06 20,11.65
2019-01-06 21,9.99
2019-01-06 22,8.08
2019-01-06 23,5.82
2019-01-07 00,4.87
2019-01-07 01,2.52
2019-01-07 02,1.11
2019-01-07 03,1.84
2019-01-07 04,2.71
2019-01-07 05,2.42
2019-01-07 06,8.87
2019-01-07 07,28.54
2019-01-07 08,58.32
2019-01-07 09,49.02
2019-01-07 10,21.35
2019-01-07 11,15.45
2019-01-07 12,20.95
2019-01-07 13,22.13
2019-01-07 14,18.33
2019-01-07 15,19.80
2019-01-07 16,24.85
2019-01-07 17,46.07
2019-01-07 18,52.53
2019-01-07 19,34.07
2019-01-07 20,20.20
2019-01-07 21,14.81
2019-01-07 22,8.82
2019-01-07 23,5.98
2019-01-08 00,3.22
2019-01-08 01,2.67
2019-01-08 02,0.95
2019-01-08 03,1.49
2019-01-08 04,2.11
2019-01-08 05,3.35
2019-01-08 06,9.95
2019-01-08 07,30.96
2019-01-08 08,62.56
2019-01-08 09,50.86
2019-01-08 10,22.09
2019-01-08 11,17.22
2019-01-08 12,20.91
2019-01-08 13,24.81
2019-01-08 14,20.55
2019-01-08 15,21.18
2019-01-08 16,29.14
2019-01-08 17,46.95
2019-01-08 18,51.25
2019-01-08 19,34.14
2019-01-08 20,22.44
2019-01-08 21,18.04
2019-01-08 22,11.54
2019-01-08 23,7.06
2019-01-09 00,4.73
2019-01-09 01,2.53
2019-01-09 02,1.09
2019-01-09 03,1.44
2019-01-09 04,2.55
2019-01-09 05,2.00
2019-01-09 06,9.79
2019-01-09 07,30.92
2019-01-09 08,61.02
2019-01-09 09,49.87
2019-01-09 10,23.33
2019-01-09 11,18.64
2019-01-09 12,21.59
