date,station,id,count
2020-01-01,Aldgate,Aldgate_3,253
2020-01-01,Angel,Angel_3,310
2020-01-01,Avondale,Avondale_3,73
2020-01-01,Bank,Bank_3,231
2020-01-01,Bankside,Bankside_3,175
2020-01-01,Barbican,Barbican_3,95
2020-01-01,Battersea Park,Battersea Park_3,446
2020-01-01,Battersea,Battersea_3,249
2020-01-01,Bayswater,Bayswater_3,301
2020-01-01,Bermondsey,Bermondsey_3,273
2020-01-01,Bethnal Green,Bethnal Green_3,307
2020-01-01,Blackwall,Blackwall_3,28
2020-01-01,Bloomsbury,Bloomsbury_3,274
2020-01-01,Borough,Borough_3,365
2020-01-01,Bow,Bow_3,137
2020-01-01,Brixton,Brixton_3,92
2020-01-01,Camden Town,Camden Town_3,304
2020-01-01,Canary Wharf,Canary Wharf_3,161
2020-01-01,Chelsea,Chelsea_3,302
2020-01-01,Clapham,Clapham_3,180
2020-01-01,Clerkenwell,Clerkenwell_3,232
2020-01-01,Covent Garden,Covent Garden_3,123
2020-01-01,Cubitt Town,Cubitt Town_3,82
2020-01-01,Earl's Court,Earl's Court_3,193
2020-01-01,Elephant & Castle,Elephant & Castle_3,264
2020-01-01,Euston,Euston_3,183
2020-01-01,Finsbury,Finsbury_3,123
2020-01-01,Fitzrovia,Fitzrovia_3,128
2020-01-01,Fulham,Fulham_3,311
2020-01-01,Haggerston,Haggerston_3,305
2020-01-01,Hammersmith,Hammersmith_3,322
2020-01-01,Holborn,Holborn_3,347
2020-01-01,Hoxton,Hoxton_3,197
2020-01-01,Hyde Park,Hyde Park_3,1111
2020-01-01,Kennington,Kennington_3,217
2020-01-01,Kensington,Kensington_3,395
2020-01-01,King's Cross,King's Cross_3,376
2020-01-01,Knightsbridge,Knightsbridge_3,491
2020-01-01,Ladbroke Grove,Ladbroke Grove_3,77
2020-01-01,Limehouse,Limehouse_3,113
2020-01-01,Liverpool Street,Liverpool Street_3,160
2020-01-01,Marylebone,Marylebone_3,589
2020-01-01,Mayfair,Mayfair_3,437
2020-01-01,Mile End,Mile End_3,260
2020-01-01,Millwall,Millwall_3,30
2020-01-01,Notting Hill,Notting Hill_3,130
2020-01-01,Old Ford,Old Ford_3,48
2020-01-01,Olympia,Olympia_3,87
2020-01-01,Olympic Park,Olympic Park_3,317
2020-01-01,Paddington,Paddington_3,241
2020-01-01,Parson's Green,Parson's Green_3,87
2020-01-01,Pimlico,Pimlico_3,470
2020-01-01,Poplar,Poplar_3,102
2020-01-01,Portobello,Portobello_3,169
2020-01-01,Putney,Putney_3,133
2020-01-01,Regent's Park,Regent's Park_3,254
2020-01-01,Sands End,Sands End_3,163
2020-01-01,Shadwell,Shadwell_3,87
2020-01-01,Shepherd's Bush,Shepherd's Bush_3,153
2020-01-01,Shoreditch,Shoreditch_3,344
2020-01-01,Soho,Soho_3,357
2020-01-01,South Bank,South Bank_3,224
2020-01-01,South Kensington,South Kensington_3,393
2020-01-01,Southwark,Southwark_3,82
2020-01-01,St John's Wood,St John's Wood_3,309
2020-01-01,St Luke's,St Luke's_3,93
2020-01-01,St Paul's,St Paul's_3,143
2020-01-01,Stepney,Stepney_3,266
2020-01-01,Stockwell,Stockwell_3,281
2020-01-01,Strand,Strand_3,385
2020-01-01,Vauxhall,Vauxhall_3,516
2020-01-01,Victoria Park,Victoria Park_3,155
2020-01-01,Victoria,Victoria_3,303
2020-01-01,Walham Green,Walham Green_3,106
2020-01-01,Walworth,Walworth_3,126
2020-01-01,Wandsworth Road,Wandsworth Road_3,139
2020-01-01,Wandsworth,Wandsworth_3,209
2020-01-01,Wapping,Wapping_3,185
2020-01-01,Waterloo,Waterloo_3,266
2020-01-01,West Chelsea,West Chelsea_3,194
2020-01-01,West End,West End_3,406
2020-01-01,West Kensington,West Kensington_3,186
2020-01-01,Westminster,Westminster_3,606
2020-01-01,Whitechapel,Whitechapel_3,188
2020-01-02,Aldgate,Aldgate_4,493
2020-01-02,Angel,Angel_4,455
2020-01-02,Avondale,Avondale_4,197
2020-01-02,Bank,Bank_4,803
2020-01-02,Bankside,Bankside_4,297
2020-01-02,Barbican,Barbican_4,397
2020-01-02,Battersea Park,Battersea Park_4,516
2020-01-02,Battersea,Battersea_4,361
2020-01-02,Bayswater,Bayswater_4,409
2020-01-02,Bermondsey,Bermondsey_4,407
2020-01-02,Bethnal Green,Bethnal Green_4,500
2020-01-02,Blackwall,Blackwall_4,52
2020-01-02,Bloomsbury,Bloomsbury_4,650
2020-01-02,Borough,Borough_4,629
2020-01-02,Bow,Bow_4,176
2020-01-02,Brixton,Brixton_4,78
2020-01-02,Camden Town,Camden Town_4,482
2020-01-02,Canary Wharf,Canary Wharf_4,249
2020-01-02,Chelsea,Chelsea_4,367
2020-01-02,Clapham,Clapham_4,239
2020-01-02,Clerkenwell,Clerkenwell_4,389
2020-01-02,Covent Garden,Covent Garden_4,280
2020-01-02,Cubitt Town,Cubitt Town_4,76
2020-01-02,Earl's Court,Earl's Court_4,254
2020-01-02,Elephant & Castle,Elephant & Castle_4,367
2020-01-02,Euston,Euston_4,524
2020-01-02,Finsbury,Finsbury_4,237
2020-01-02,Fitzrovia,Fitzrovia_4,359
2020-01-02,Fulham,Fulham_4,312
2020-01-02,Haggerston,Haggerston_4,473
2020-01-02,Hammersmith,Hammersmith_4,391
