date,station,id,count
2019-12-31,RomovedStation,RomovedStation,158
2019-12-31,Aldgate,Aldgate_2,377
2019-12-31,Angel,Angel_2,296
2019-12-31,Avondale,Avondale_2,53
2019-12-31,Bank,Bank_2,442
2019-12-31,Bankside,Bankside_2,331
2019-12-31,Barbican,Barbican_2,205
2019-12-31,Battersea Park,Battersea Park_2,506
2019-12-31,Battersea,Battersea_2,338
2019-12-31,Bayswater,Bayswater_2,472
2019-12-31,Bermondsey,Bermondsey_2,269
2019-12-31,Bethnal Green,Bethnal Green_2,411
2019-12-31,Blackwall,Blackwall_2,47
2019-12-31,Bloomsbury,Bloomsbury_2,438
2019-12-31,Borough,Borough_2,515
2019-12-31,Bow,Bow_2,179
2019-12-31,Brixton,Brixton_2,147
2019-12-31,Camden Town,Camden Town_2,440
2019-12-31,Canary Wharf,Canary Wharf_2,227
2019-12-31,Chelsea,Chelsea_2,292
2019-12-31,Clapham,Clapham_2,217
2019-12-31,Clerkenwell,Clerkenwell_2,308
2019-12-31,Covent Garden,Covent Garden_2,221
2019-12-31,Cubitt Town,Cubitt Town_2,129
2019-12-31,Earl's Court,Earl's Court_2,289
2019-12-31,Elephant & Castle,Elephant & Castle_2,352
2019-12-31,Euston,Euston_2,286
2019-12-31,Finsbury,Finsbury_2,167
2019-12-31,Fitzrovia,Fitzrovia_2,204
2019-12-31,Fulham,Fulham_2,280
2019-12-31,Haggerston,Haggerston_2,409
2019-12-31,Hammersmith,Hammersmith_2,288
2019-12-31,Holborn,Holborn_2,509
2019-12-31,Hoxton,Hoxton_2,310
2019-12-31,Hyde Park,Hyde Park_2,1039
2019-12-31,Kennington,Kennington_2,215
2019-12-31,Kensington,Kensington_2,537
2019-12-31,King's Cross,King's Cross_2,440
2019-12-31,Knightsbridge,Knightsbridge_2,699
2019-12-31,Ladbroke Grove,Ladbroke Grove_2,117
2019-12-31,Limehouse,Limehouse_2,180
2019-12-31,Liverpool Street,Liverpool Street_2,288
2019-12-31,Marylebone,Marylebone_2,701
2019-12-31,Mayfair,Mayfair_2,584
2019-12-31,Mile End,Mile End_2,253
2019-12-31,Millwall,Millwall_2,90
2019-12-31,Notting Hill,Notting Hill_2,218
2019-12-31,Old Ford,Old Ford_2,84
2019-12-31,Olympia,Olympia_2,135
2019-12-31,Olympic Park,Olympic Park_2,421
2019-12-31,Paddington,Paddington_2,210
2019-12-31,Parson's Green,Parson's Green_2,141
2019-12-31,Pimlico,Pimlico_2,626
2019-12-31,Poplar,Poplar_2,61
2019-12-31,Portobello,Portobello_2,161
2019-12-31,Putney,Putney_2,207
2019-12-31,Regent's Park,Regent's Park_2,316
2019-12-31,Sands End,Sands End_2,214
2019-12-31,Shadwell,Shadwell_2,132
2019-12-31,Shepherd's Bush,Shepherd's Bush_2,178
2019-12-31,Shoreditch,Shoreditch_2,370
2019-12-31,Soho,Soho_2,618
2019-12-31,South Bank,South Bank_2,292
2019-12-31,South Kensington,South Kensington_2,527
2019-12-31,Southwark,Southwark_2,111
2019-12-31,St John's Wood,St John's Wood_2,367
2019-12-31,St Luke's,St Luke's_2,135
2019-12-31,St Paul's,St Paul's_2,260
2019-12-31,Stepney,Stepney_2,216
2019-12-31,Stockwell,Stockwell_2,291
2019-12-31,Strand,Strand_2,442
2019-12-31,Vauxhall,Vauxhall_2,572
2019-12-31,Victoria Park,Victoria Park_2,165
2019-12-31,Victoria,Victoria_2,404
2019-12-31,Walham Green,Walham Green_2,124
2019-12-31,Walworth,Walworth_2,87
2019-12-31,Wandsworth Road,Wandsworth Road_2,142
2019-12-31,Wandsworth,Wandsworth_2,294
2019-12-31,Wapping,Wapping_2,241
2019-12-31,Waterloo,Waterloo_2,424
2019-12-31,West Chelsea,West Chelsea_2,240
2019-12-31,West End,West End_2,539
2019-12-31,West Kensington,West Kensington_2,192
2019-12-31,Westminster,Westminster_2,703
2019-12-31,Whitechapel,Whitechapel_2,221
2020-01-01,RomovedStation,RomovedStation,200
2020-01-01,Aldgate,Aldgate_3,544
2020-01-01,Angel,Angel_3,402
2020-01-01,Avondale,Avondale_3,146
2020-01-01,Bank,Bank_3,1025
2020-01-01,Bankside,Bankside_3,332
2020-01-01,Barbican,Barbican_3,514
2020-01-01,Battersea Park,Battersea Park_3,416
2020-01-01,Battersea,Battersea_3,389
2020-01-01,Bayswater,Bayswater_3,449
2020-01-01,Bermondsey,Bermondsey_3,417
2020-01-01,Bethnal Green,Bethnal Green_3,475
2020-01-01,Blackwall,Blackwall_3,34
2020-01-01,Bloomsbury,Bloomsbury_3,712
2020-01-01,Borough,Borough_3,671
2020-01-01,Bow,Bow_3,233
2020-01-01,Brixton,Brixton_3,74
2020-01-01,Camden Town,Camden Town_3,370
2020-01-01,Canary Wharf,Canary Wharf_3,233
