date,station,id,count
2020-01-01,RomovedStation,RomovedStation,200
2020-01-01,Aldgate,Aldgate_3,544
2020-01-01,Angel,Angel_3,402
2020-01-01,Avondale,Avondale_3,146
2020-01-01,Bank,Bank_3,1025
2020-01-01,Bankside,Bankside_3,332
2020-01-01,Barbican,Barbican_3,514
2020-01-01,Battersea Park,Battersea Park_3,416
2020-01-01,Battersea,Battersea_3,389
2020-01-01,Bayswater,Bayswater_3,449
2020-01-01,Bermondsey,Bermondsey_3,417
2020-01-01,Bethnal Green,Bethnal Green_3,475
2020-01-01,Blackwall,Blackwall_3,34
2020-01-01,Bloomsbury,Bloomsbury_3,712
2020-01-01,Borough,Borough_3,671
2020-01-01,Bow,Bow_3,233
2020-01-01,Brixton,Brixton_3,74
2020-01-01,Camden Town,Camden Town_3,370
2020-01-01,Canary Wharf,Canary Wharf_3,233
2020-01-01,Chelsea,Chelsea_3,427
2020-01-01,Clapham,Clapham_3,304
2020-01-01,Clerkenwell,Clerkenwell_3,438
2020-01-01,Covent Garden,Covent Garden_3,376
2020-01-01,Cubitt Town,Cubitt Town_3,90
2020-01-01,Earl's Court,Earl's Court_3,294
2020-01-01,Elephant & Castle,Elephant & Castle_3,332
2020-01-01,Euston,Euston_3,634
2020-01-01,Finsbury,Finsbury_3,245
2020-01-01,Fitzrovia,Fitzrovia_3,479
2020-01-01,Fulham,Fulham_3,378
2020-01-01,Haggerston,Haggerston_3,475
2020-01-01,Hammersmith,Hammersmith_3,394
2020-01-01,Holborn,Holborn_3,1313
2020-01-01,Hoxton,Hoxton_3,497
2020-01-01,Hyde Park,Hyde Park_3,766
2020-01-01,Kennington,Kennington_3,291
2020-01-01,Kensington,Kensington_3,523
2020-01-01,King's Cross,King's Cross_3,830
2020-01-01,Knightsbridge,Knightsbridge_3,759
2020-01-01,Ladbroke Grove,Ladbroke Grove_3,106
2020-01-01,Limehouse,Limehouse_3,153
2020-01-01,Liverpool Street,Liverpool Street_3,761
2020-01-01,Marylebone,Marylebone_3,1263
2020-01-01,Mayfair,Mayfair_3,711
2020-01-01,Mile End,Mile End_3,290
2020-01-01,Millwall,Millwall_3,70
2020-01-01,Notting Hill,Notting Hill_3,219
2020-01-01,Old Ford,Old Ford_3,66
2020-01-01,Olympia,Olympia_3,128
2020-01-01,Olympic Park,Olympic Park_3,231
2020-01-01,Paddington,Paddington_3,351
2020-01-01,Parson's Green,Parson's Green_3,173
2020-01-01,Pimlico,Pimlico_3,541
2020-01-01,Poplar,Poplar_3,78
2020-01-01,Portobello,Portobello_3,173
2020-01-01,Putney,Putney_3,127
2020-01-01,Regent's Park,Regent's Park_3,223
2020-01-01,Sands End,Sands End_3,222
2020-01-01,Shadwell,Shadwell_3,196
2020-01-01,Shepherd's Bush,Shepherd's Bush_3,194
2020-01-01,Shoreditch,Shoreditch_3,602
2020-01-01,Soho,Soho_3,601
2020-01-01,South Bank,South Bank_3,603
2020-01-01,South Kensington,South Kensington_3,462
2020-01-01,Southwark,Southwark_3,163
2020-01-01,St John's Wood,St John's Wood_3,289
2020-01-01,St Luke's,St Luke's_3,304
2020-01-01,St Paul's,St Paul's_3,409
2020-01-01,Stepney,Stepney_3,316
2020-01-01,Stockwell,Stockwell_3,396
2020-01-01,Strand,Strand_3,818
2020-01-01,Vauxhall,Vauxhall_3,647
2020-01-01,Victoria Park,Victoria Park_3,159
2020-01-01,Victoria,Victoria_3,544
2020-01-01,Walham Green,Walham Green_3,198
2020-01-01,Walworth,Walworth_3,122
2020-01-01,Wandsworth Road,Wandsworth Road_3,119
2020-01-01,Wandsworth,Wandsworth_3,247
2020-01-01,Wapping,Wapping_3,325
2020-01-01,Waterloo,Waterloo_3,918
2020-01-01,West Chelsea,West Chelsea_3,328
2020-01-01,West End,West End_3,477
2020-01-01,West Kensington,West Kensington_3,188
2020-01-01,Westminster,Westminster_3,887
2020-01-01,Whitechapel,Whitechapel_3,402
2020-01-02,RomovedStation,RomovedStation,163
2020-01-02,Aldgate,Aldgate_4,657
2020-01-02,Angel,Angel_4,556
2020-01-02,Avondale,Avondale_4,156
2020-01-02,Bank,Bank_4,1066
2020-01-02,Bankside,Bankside_4,442
2020-01-02,Barbican,Barbican_4,517
2020-01-02,Battersea Park,Battersea Park_4,385
2020-01-02,Battersea,Battersea_4,450
2020-01-02,Bayswater,Bayswater_4,487
2020-01-02,Bermondsey,Bermondsey_4,446
2020-01-02,Bethnal Green,Bethnal Green_4,547
2020-01-02,Blackwall,Blackwall_4,47
2020-01-02,Bloomsbury,Bloomsbury_4,708
2020-01-02,Borough,Borough_4,681
2020-01-02,Bow,Bow_4,249
2020-01-02,Brixton,Brixton_4,78
2020-01-02,Camden Town,Camden Town_4,659
2020-01-02,Canary Wharf,Canary Wharf_4,243
2020-01-02,Chelsea,Chelsea_4,502
2020-01-02,Clapham,Clapham_4,264
2020-01-02,Clerkenwell,Clerkenwell_4,468
2020-01-02,Covent Garden,Covent Garden_4,303
2020-01-02,Cubitt Town,Cubitt Town_4,105
2020-01-02,Earl's Court,Earl's Court_4,337
