id,value
Aldgate_0,370.0
Aldgate_1,632.75
Aldgate_2,627.5
Aldgate_3,571.8
Aldgate_4,635.8
Aldgate_5,569.8
Aldgate_6,333.25
Angel_0,374.0
Angel_1,548.0
Angel_2,565.5
Angel_3,523.2
Angel_4,581.6
Angel_5,544.2
Angel_6,422.5
Avondale_0,185.75
Avondale_1,196.5
Avondale_2,192.0
Avondale_3,206.0
Avondale_4,212.2
Avondale_5,180.2
Avondale_6,186.0
Bank_0,286.75
Bank_1,991.0
Bank_2,1015.25
Bank_3,845.8
Bank_4,1031.4
Bank_5,1043.4
Bank_6,358.0
Bankside_0,239.0
Bankside_1,441.75
Bankside_2,435.5
Bankside_3,395.2
Bankside_4,449.0
Bankside_5,401.4
Bankside_6,270.5
Barbican_0,223.5
Barbican_1,620.0
Barbican_2,681.0
Barbican_3,559.4
Barbican_4,609.6
Barbican_5,547.4
Barbican_6,226.25
"Battersea Park_0",602.0
"Battersea Park_1",570.75
"Battersea Park_2",592.75
"Battersea Park_3",606.6
"Battersea Park_4",620.2
"Battersea Park_5",598.2
"Battersea Park_6",673.25
Battersea_0,376.75
Battersea_1,472.75
Battersea_2,523.0
Battersea_3,465.2
Battersea_4,488.8
Battersea_5,467.8
Battersea_6,414.5
Bayswater_0,411.75
Bayswater_1,459.0
Bayswater_2,469.0
Bayswater_3,444.4
Bayswater_4,447.2
Bayswater_5,439.4
Bayswater_6,456.0
Bermondsey_0,346.75
Bermondsey_1,486.75
Bermondsey_2,473.0
Bermondsey_3,451.6
Bermondsey_4,483.4
Bermondsey_5,493.6
Bermondsey_6,419.5
"Bethnal Green_0",540.75
"Bethnal Green_1",617.5
"Bethnal Green_2",693.5
"Bethnal Green_3",599.4
"Bethnal Green_4",652.4
"Bethnal Green_5",606.0
"Bethnal Green_6",549.25
Blackwall_0,42.25
Blackwall_1,42.5
Blackwall_2,44.5
Blackwall_3,41.2
Blackwall_4,52.6
Blackwall_5,38.6
Blackwall_6,55.75
Bloomsbury_0,420.0
Bloomsbury_1,893.0
Bloomsbury_2,985.5
Bloomsbury_3,804.4
Bloomsbury_4,861.0
Bloomsbury_5,841.6
Bloomsbury_6,491.0
Borough_0,498.0
Borough_1,762.25
Borough_2,785.5
Borough_3,685.0
Borough_4,762.4
Borough_5,770.2
Borough_6,603.75
Bow_0,288.5
Bow_1,268.25
Bow_2,288.75
Bow_3,267.4
Bow_4,266.2
Bow_5,257.8
Bow_6,288.0
Brixton_0,93.5
Brixton_1,88.5
Brixton_2,93.25
Brixton_3,97.6
Brixton_4,89.2
Brixton_5,103.2
Brixton_6,107.75
"Camden Town_0",325.25
"Camden Town_1",467.0
"Camden Town_2",495.0
"Camden Town_3",462.4
"Camden Town_4",476.8
"Camden Town_5",484.4
"Camden Town_6",446.25
