id,name,village,lon,lat
1,River Street,Clerkenwell,-0.10997,51.529163
2,Phillimore Gardens,Kensington,-0.197574,51.499606
3,Christopher Street,Liverpool Street,-0.084605,51.521283
4,St. Chad's Street,King's Cross,-0.120973,51.530059
5,Sedding Street,Sloane Square,-0.156876,51.49313
6,Broadcasting House,Marylebone,-0.144228,51.518117
7,Charlbert Street,St. John's Wood,-0.168074,51.5343
8,Maida Vale,Maida Vale,-0.183486,51.529857
9,New Globe Walk,Bankside,-0.09644,51.507385
10,Park Street,Bankside,-0.092754,51.505974
11,Brunswick Square,Bloomsbury,-0.122502,51.523951
12,Malet Street,Bloomsbury,-0.130431,51.52168
13,Scala Street,Fitzrovia,-0.136039,51.519914
14,Belgrove Street,King's Cross,-0.123616,51.529943
15,Great Russell Street,Bloomsbury,-0.127854,51.517727
16,Cartwright Gardens,Bloomsbury,-0.125979,51.526357
17,Hatton Wall,Holborn,-0.109006,51.521661
18,Drury Lane,Covent Garden,-0.122219,51.51477
19,Taviton Street,Bloomsbury,-0.131161,51.52505
20,Drummond Street,Euston,-0.136052,51.527326
21,Hampstead Road (Cartmel),Euston,-0.138846,51.530078
22,Northington Street,Holborn,-0.114079,51.522264
23,Red Lion Square,Holborn,-0.119123,51.519435
24,British Museum,Bloomsbury,-0.124678,51.51908
25,Doric Way,Somers Town,-0.13225,51.528833
26,Ampton Street,Clerkenwell,-0.118295,51.52728
27,Bouverie Street,Temple,-0.107927,51.513821
28,Bolsover Street,Fitzrovia,-0.143613,51.523518
29,Hereford Road,Bayswater,-0.193487,51.513735
30,Windsor Terrace,Hoxton,-0.093421,51.529154
31,Fanshaw Street,Hoxton,-0.083353,51.529537
32,Leonard Circus,Shoreditch,-0.084439,51.524696
33,Central House,Aldgate,-0.070056,51.5156
34,Pancras Road,King's Cross,-0.129386,51.534123
36,De Vere Gardens,Kensington,-0.18498,51.501737
37,Penywern Road,Earl's Court,-0.192369,51.491593
38,Abingdon Villas,Kensington,-0.197245,51.497387
39,Shoreditch High Street,Shoreditch,-0.07813,51.526377
40,Commercial Street,Shoreditch,-0.075578,51.52127
41,Pindar Street,Liverpool Street,-0.083493,51.520955
42,Wenlock Road,Hoxton,-0.093903,51.530991
43,Crawford Street,Marylebone,-0.157183,51.52026
44,Bruton Street,Mayfair,-0.144165,51.510736
45,Boston Place,Marylebone,-0.162298,51.522511
46,Nesham Street,Wapping,-0.06691,51.507131
47,Warwick Avenue Station,Maida Vale,-0.183846,51.523344
48,Godliman Street,St. Paul's,-0.099141,51.512484
49,Curzon Street,Mayfair,-0.145904,51.507069
50,East Road,Hoxton,-0.087459,51.528673
51,Finsbury Library,Finsbury,-0.104298,51.526717
52,Roscoe Street,St. Luke's,-0.094934,51.522954
53,Grafton Street,Mayfair,-0.143495,51.509992
54,Golden Lane,Barbican,-0.094475,51.521747
55,Finsbury Circus,Liverpool Street,-0.086685,51.517075
56,Paddington Street,Marylebone,-0.154701,51.520583
57,Guilford Street,Bloomsbury,-0.120202,51.523346
58,New Inn Yard,Shoreditch,-0.079248,51.524526
60,Lisson Grove,St. John's Wood,-0.17219,51.526448
61,Great Dover Street,The Borough,-0.089446,51.497382
62,Cotton Garden Estate,Kennington,-0.106323,51.490757
63,Murray Grove,Hoxton,-0.089782,51.53089
64,William IV Street,Strand,-0.124749,51.509462
65,Gower Place,Euston,-0.135188,51.525227
66,Holborn Circus,Holborn,-0.108657,51.51795
67,Hatton Garden,Holborn,-0.108028,51.518825
68,Theobald's Road,Holborn,-0.116688,51.520596
69,Euston Road,Euston,-0.134407,51.526236
70,Calshot Street,King's Cross,-0.117069,51.53136
71,Newgate Street,St. Paul's,-0.09885,51.515418
72,Farringdon Lane,Clerkenwell,-0.10834,51.52352
73,Old Street Station,St. Luke's,-0.088486,51.525726
74,Vauxhall Cross,Vauxhall,-0.124469,51.485917
75,Torrens Street,Angel,-0.10548,51.532199
76,Longford Street,The Regent's Park,-0.144083,51.525595
77,Russell Square Station,Bloomsbury,-0.124121,51.523418
78,Sadlers Sports Centre,Finsbury,-0.099489,51.524868
79,Arundel Street,Temple,-0.113855,51.511726
80,Webber Street,Southwark,-0.102091,51.500693
81,Great Titchfield Street,Fitzrovia,-0.141327,51.520253
82,Chancery Lane,Holborn,-0.111257,51.514274
83,Panton Street,West End,-0.13151,51.509639
84,Breams Buildings,Holborn,-0.111778,51.515937
85,Tanner Street,Bermondsey,-0.0786,51.500647
86,Sancroft Street,Vauxhall,-0.115156,51.489479
87,Devonshire Square,Liverpool Street,-0.079684,51.516468
88,Bayley Street,Bloomsbury,-0.132053,51.518587
89,Tavistock Place,Bloomsbury,-0.123509,51.52625
