date,avg(count)
2020-01-01T00,17.345
2020-01-01T01,19.925
2020-01-01T02,12.7
2020-01-01T03,9.85
2020-01-01T04,12
2020-01-01T05,15.525
2020-01-01T06,9.6
2020-01-01T07,8.275
2020-01-01T08,5.55
2020-01-01T09,5.4
2020-01-01T10,9.075
2020-01-01T11,10.475
2020-01-01T12,14.35
2020-01-01T13,12.4
2020-01-01T14,9.9
2020-01-01T15,13.6
2020-01-01T16,13.125
2020-01-01T17,13.075
2020-01-01T18,13.125
2020-01-01T19,11.55
2020-01-01T20,21.325
2020-01-01T21,13.525
2020-01-01T22,9.9
2020-01-01T23,8.575
2020-01-02T00,9.425
2020-01-02T01,7.075
2020-01-02T02,3.475
2020-01-02T03,1.775
2020-01-02T04,2.2
2020-01-02T05,9.025
2020-01-02T06,19.875
2020-01-02T07,47.85
2020-01-02T08,142.05
2020-01-02T09,60.1
2020-01-02T10,143.075
2020-01-02T11,28.975
2020-01-02T12,20.4
2020-01-02T13,17.125
2020-01-02T14,17.425
2020-01-02T15,17.925
2020-01-02T16,34.725
2020-01-02T17,61.85
2020-01-02T18,83.725
2020-01-02T19,62
2020-01-02T20,109.5
2020-01-02T21,57.525
2020-01-02T22,15.55
2020-01-02T23,11.675
2020-01-03T00,22.85
2020-01-03T01,18.325
2020-01-03T02,5.475
2020-01-03T03,4.45
2020-01-03T04,2.7
2020-01-03T05,8.7
2020-01-03T06,18.475
2020-01-03T07,47.55
2020-01-03T08,138.575
2020-01-03T09,68.275
2020-01-03T10,130.9
2020-01-03T11,32.9
2020-01-03T12,30.4
2020-01-03T13,19.6
2020-01-03T14,14.5
2020-01-03T15,21
2020-01-03T16,29.05
2020-01-03T17,62.5
2020-01-03T18,52.45
2020-01-03T19,51.6
2020-01-03T20,86.975
2020-01-03T21,64.6
2020-01-03T22,17.575
2020-01-03T23,11.7
2020-01-04T00,15.15
2020-01-04T01,24.575
2020-01-04T02,11.025
2020-01-04T03,13.75
2020-01-04T04,2.875
2020-01-04T05,5.1
2020-01-04T06,8.475
2020-01-04T07,8.5
2020-01-04T08,23.175
2020-01-04T09,33.275
2020-01-04T10,26.325
2020-01-04T11,25.475
2020-01-04T12,24.025
2020-01-04T13,16.95
2020-01-04T14,17.3
2020-01-04T15,33.875
2020-01-04T16,24.225
2020-01-04T17,17.3
2020-01-04T18,22.075
2020-01-04T19,20.6
2020-01-04T20,39.95
2020-01-04T21,63.1
2020-01-04T22,25.075
2020-01-04T23,13.375
2020-01-05T00,10.925
2020-01-05T01,26.125
2020-01-05T02,17.3
2020-01-05T03,19.4
2020-01-05T04,8.425
2020-01-05T05,3.5
2020-01-05T06,6.4
2020-01-05T07,4.675
2020-01-05T08,15.05
2020-01-05T09,22.825
2020-01-05T10,31.45
2020-01-05T11,28.65
2020-01-05T12,27.05
2020-01-05T13,22.55
2020-01-05T14,15.75
2020-01-05T15,26.575
2020-01-05T16,25.4
2020-01-05T17,19.575
2020-01-05T18,22.5
2020-01-05T19,21.65
2020-01-05T20,42.825
2020-01-05T21,38.35
2020-01-05T22,15.025
2020-01-05T23,17.2
2020-01-06T00,23.1
