date,station,id,count
2020-01-01,Face 104 rue d'Aubervilliers,Face 104 rue d'Aubervilliers_3,106
2020-01-01,Face au 25 quai de l'Oise,Face au 25 quai de l'Oise_3,261
2020-01-01,Face au 4 avenue de la porte de Bagnolet,Face au 4 avenue de la porte de Bagnolet_3,198
2020-01-01,Face au 40 quai D'Issy,Face au 40 quai D'Issy_3,95
2020-01-01,Face au 48 quai de la marne,Face au 48 quai de la marne_3,451
2020-01-01,Face au 70 quai de Bercy,Face au 70 quai de Bercy_3,183
2020-01-01,Face au 8 avenue de la porte de Charenton,Face au 8 avenue de la porte de Charenton_3,230
2020-01-01,Pont National,Pont National_3,240
2020-01-01,Pont de Bercy,Pont de Bercy_3,200
2020-01-01,Pont de la Concorde,Pont de la Concorde_3,388
2020-01-01,Pont des Invalides,Pont des Invalides_3,160
2020-01-01,Pont du Garigliano,Pont du Garigliano_3,245
2020-01-01,Porte des Ternes,Porte des Ternes_3,92
2020-01-01,Quai d'Orsay,Quai d'Orsay_3,558
2020-01-01,Totem 64 Rue de Rivoli,Totem 64 Rue de Rivoli_3,556
2020-01-01,Voie Georges Pompidou,Voie Georges Pompidou_3,172
2020-01-01,avenue Daumesnil,avenue Daumesnil_3,163
2020-01-01,avenue Denfert Rochereau,avenue Denfert Rochereau_3,234
2020-01-01,avenue d'Italie,avenue d'Italie_3,240
2020-01-01,avenue de Flandre,avenue de Flandre_3,313
2020-01-01,avenue de la Grande Armée,avenue de la Grande Armée_3,165
2020-01-01,avenue de la Porte D'Orléans,avenue de la Porte D'Orléans_3,45
2020-01-01,avenue de la Porte de Bagnolet,avenue de la Porte de Bagnolet_3,110
2020-01-01,avenue des Champs Elysées,avenue des Champs Elysées_3,305
2020-01-01,boulevard Auguste Blanqui,boulevard Auguste Blanqui_3,217
2020-01-01,boulevard Diderot,boulevard Diderot_3,236
2020-01-01,boulevard Richard Lenoir,boulevard Richard Lenoir_3,648
2020-01-01,boulevard Saint Germain,boulevard Saint Germain_3,199
2020-01-01,boulevard Voltaire,boulevard Voltaire_3,644
2020-01-01,boulevard de Magenta,boulevard de Magenta_3,985
2020-01-01,boulevard du Montparnasse,boulevard du Montparnasse_3,232
2020-01-01,quai François Mauriac,quai François Mauriac_3,159
2020-01-01,quai de Grenelle,quai de Grenelle_3,287
2020-01-01,quai de l'hotel de ville,quai de l'hotel de ville_3,178
2020-01-01,quai de la Tournelle,quai de la Tournelle_3,283
2020-01-01,rue Julia Bartet,rue Julia Bartet_3,246
2020-01-01,rue La Fayette,rue La Fayette_3,468
2020-01-01,rue Lecourbe,rue Lecourbe_3,294
2020-01-01,rue Turbigo,rue Turbigo_3,393
2020-01-01,rue de la Chapelle,rue de la Chapelle_3,111
2020-01-02,Face 104 rue d'Aubervilliers,Face 104 rue d'Aubervilliers_4,467
2020-01-02,Face au 25 quai de l'Oise,Face au 25 quai de l'Oise_4,882
2020-01-02,Face au 4 avenue de la porte de Bagnolet,Face au 4 avenue de la porte de Bagnolet_4,508
2020-01-02,Face au 40 quai D'Issy,Face au 40 quai D'Issy_4,170
2020-01-02,Face au 48 quai de la marne,Face au 48 quai de la marne_4,1909
2020-01-02,Face au 70 quai de Bercy,Face au 70 quai de Bercy_4,898
2020-01-02,Face au 8 avenue de la porte de Charenton,Face au 8 avenue de la porte de Charenton_4,580
2020-01-02,Pont National,Pont National_4,832
2020-01-02,Pont de Bercy,Pont de Bercy_4,781
2020-01-02,Pont de la Concorde,Pont de la Concorde_4,1778
2020-01-02,Pont des Invalides,Pont des Invalides_4,665
2020-01-02,Pont du Garigliano,Pont du Garigliano_4,932
2020-01-02,Porte des Ternes,Porte des Ternes_4,488
2020-01-02,Quai d'Orsay,Quai d'Orsay_4,1432
2020-01-02,Totem 64 Rue de Rivoli,Totem 64 Rue de Rivoli_4,1732
2020-01-02,Voie Georges Pompidou,Voie Georges Pompidou_4,1468
2020-01-02,avenue Daumesnil,avenue Daumesnil_4,411
2020-01-02,avenue Denfert Rochereau,avenue Denfert Rochereau_4,406
2020-01-02,avenue d'Italie,avenue d'Italie_4,704
2020-01-02,avenue de Flandre,avenue de Flandre_4,1048
2020-01-02,avenue de la Grande Armée,avenue de la Grande Armée_4,480
2020-01-02,avenue de la Porte D'Orléans,avenue de la Porte D'Orléans_4,102
2020-01-02,avenue de la Porte de Bagnolet,avenue de la Porte de Bagnolet_4,193
2020-01-02,avenue des Champs Elysées,avenue des Champs Elysées_4,932
2020-01-02,boulevard Auguste Blanqui,boulevard Auguste Blanqui_4,675
2020-01-02,boulevard Diderot,boulevard Diderot_4,669
2020-01-02,boulevard Richard Lenoir,boulevard Richard Lenoir_4,2479
2020-01-02,boulevard Saint Germain,boulevard Saint Germain_4,547
2020-01-02,boulevard Voltaire,boulevard Voltaire_4,2402
2020-01-02,boulevard de Magenta,boulevard de Magenta_4,2408
2020-01-02,boulevard du Montparnasse,boulevard du Montparnasse_4,861
2020-01-02,quai François Mauriac,quai François Mauriac_4,866
2020-01-02,quai de Grenelle,quai de Grenelle_4,1578
