station_id,station_name,description,lat,lon
Ternes,Guersant - Gouvion-Saint-Cyr,Ternes,48.88287775,2.287667371
Belleville,Ramponeau - Belleville,Belleville,48.87103114,2.379056852
Epinettes,Porte de Saint-Ouen - Bessières,Epinettes,48.89792241,2.32851451
Auteuil,Saint-Cloud - Hippodrome,Auteuil,48.85834094,2.25815177
Champs-Elysées,Marceau - Chaillot,Champs-Elysées,48.86883395,2.298996784
Epinettes,Porte Pouchet-Bessières,Epinettes,48.8978765,2.3230632
Saint-Vincent-de-Paul,Gare du Nord - Hôpital Lariboisière,Saint-Vincent-de-Paul,48.881949,2.352339
Saint-Ambroise,Saint-Ambroise - Parmentier,Saint-Ambroise,48.86214784,2.377234809
Roquette,Roquette - Thiéré,Roquette,48.85507931,2.373368632
Auteuil,Exelmans - Versailles,Auteuil,48.84097491,2.264390253
Grandes-Carrières,Championnet - Vauvenargues,Grandes-Carrières,48.89401875,2.331987284
Saint-Thomas-d'Aquin,Raspail - Chomel,Saint-Thomas-d'Aquin,48.85223316,2.32665807
Charonne,Louis Lumière - Porte de Bagnolet,Charonne,48.86431136,2.410521023
Pont-de-Flandre,Cité de la Musique,Pont-de-Flandre,48.88879656,2.392581193
Saint-Ambroise,Parmentier - République,Saint-Ambroise,48.8644954,2.3750124
Combat,Marché Secrétan,Combat,48.88125496,2.373463288
Quinze-Vingts,Bastille - Biscornet,Quinze-Vingts,48.85135578,2.369220033
Faubourg-du-Roule,Lamennais - Washington,Faubourg-du-Roule,48.8735299,2.303444892
Plaine de Monceaux,Place du Maréchal Juin - Péreire,Plaine de Monceaux,48.885263,2.298286
Porte-Saint-Denis,Chabrol - d'Hauteville,Porte-Saint-Denis,48.87701839,2.351317964
La Chapelle,Ney - Charles Hermite,La Chapelle,48.89874804,2.364575453
Place-Vendôme,Danielle Casanova - Place Vendôme,Place-Vendôme,48.8682665,2.330483906
Parc-de-Montsouris,Dareau - Broussais,Parc-de-Montsouris,48.8307758,2.3361804
Charonne,Commandant l'Herminier - Gallieni,Charonne,48.84704055,2.416045368
Epinettes,Guy Môquet - Saint-Ouen,Epinettes,48.89277772,2.327033579
Maison-Blanche,Mazagran - Pierre de Coubertin,Maison-Blanche,48.81621864,2.344226874
Notre-Dame-des-Champs,Assas - Luxembourg,Notre-Dame-des-Champs,48.84373447,2.333428382
Maison-Blanche,Italie - Jardin Joan Miro,Maison-Blanche,48.81990914,2.359294854
Rochechouart,Gérando - Rochechouart,Rochechouart,48.88294341,2.346484624
Saint-Merri,Place Edmond Michelet,Saint-Merri,48.86013489,2.350063697
Picpus,Saint-Mandé - Fabre d'Eglantine,Picpus,48.8453579,2.3965022
Grenelle,Croix Nivert - Square Saint-Lambert,Grenelle,48.84305152,2.295200452
Chaussée-d'Antin,Victoire - Laffitte,Chaussée-d'Antin,48.87514373,2.338118505
Halles,Jean-Jacques Rousseau - Deux Ecus,Halles,48.86297806,2.341463529
Gare,Choisy - Malmaisons,Gare,48.8219197,2.363346883
Halles,Coquillière - Louvre,Halles,48.86379591,2.342573628
Plaine de Monceaux,Jouffroy d'Abbans - Malesherbes,Plaine de Monceaux,48.8850134,2.3070717
Ternes,Grande Armée - Brunel,Ternes,48.876116,2.288124
Faubourg-du-Roule,Place Georges Guillaumin,Faubourg-du-Roule,48.8747502,2.301771435
Gros-Caillou,Champ de Mars - Cler,Gros-Caillou,48.85669155,2.306646779
Combat,Carducci - Place Hannah Arendt,Combat,48.87743668,2.386074364
Hôpital-Saint-Louis,Buisson Saint-Louis - Saint-Maur,Hôpital-Saint-Louis,48.87174685,2.372252833
Javel,Place Robert Guillemard,Javel,48.83619173,2.281126716
Saint-Germain-l'Auxerrois,Pont-Neuf - Quai du Louvre,Saint-Germain-l'Auxerrois,48.8582959,2.342371456
Petit-Montrouge,Auguste Cain - Jean Moulin,Petit-Montrouge,48.82577029,2.321041524
Porte-Saint-Martin,Marseille - Beaurepaire,Porte-Saint-Martin,48.87162431,2.363926508
Quinze-Vingts,Charenton - Diderot,Quinze-Vingts,48.84617146,2.379306816
Picpus,Montgallet - Charenton,Picpus,48.84264778,2.386164928
Gare,Jean Colly - Tolbiac,Gare,48.82781729,2.370549068
