station_id,station_name,description,lat,lon
avenue Denfert Rochereau,avenue Denfert Rochereau,avenue Denfert Rochereau,48.834915,2.332999
rue La Fayette,rue La Fayette,rue La Fayette,48.87756,2.350318
avenue Daumesnil,avenue Daumesnil,135 avenue Daumesnil SE-NO,48.84343,2.383378
boulevard Diderot,boulevard Diderot,boulevard Diderot,48.84606,2.375442
quai François Mauriac,quai François Mauriac,quai François Mauriac,48.8344,2.376941
quai de l'hotel de ville,quai de l'hotel de ville,quai de l'hotel de ville,48.85372,2.35702
Voie Georges Pompidou,Voie Georges Pompidou,Voie Georges Pompidou NE-SO,48.84839,2.275932
boulevard Voltaire,boulevard Voltaire,boulevard Voltaire,48.86152,2.37392
avenue de la Grande Armée,avenue de la Grande Armée,avenue de la Grande Armée,48.87461,2.292229
Porte des Ternes,Porte des Ternes,Porte des Ternes,48.881715,2.281374
Pont du Garigliano,Pont du Garigliano,Pont du Garigliano,48.8399,2.267125
boulevard de Magenta,boulevard de Magenta,boulevard de Magenta,48.8777,2.354699
boulevard Richard Lenoir,boulevard Richard Lenoir,boulevard Richard Lenoir,48.86081,2.37251
Face au 48 quai de la marne,Face au 48 quai de la marne,Face au 48 quai de la marne,48.89121,2.3857297
Face 104 rue d'Aubervilliers,Face 104 rue d'Aubervilliers,Face 104 rue d'Aubervilliers,48.89045,2.3688522
Face au 70 quai de Bercy,Face au 70 quai de Bercy,Face au 70 quai de Bercy,48.82952,2.38699
rue Julia Bartet,rue Julia Bartet,rue Julia Bartet,48.82648,2.303149
Face au 25 quai de l'Oise,Face au 25 quai de l'Oise,Face au 25 quai de l'Oise,48.89141,2.384954
Pont National,Pont National,Pont National,48.82667,2.3845
boulevard du Montparnasse,boulevard du Montparnasse,boulevard du Montparnasse,48.8408,2.333233
boulevard Auguste Blanqui,boulevard Auguste Blanqui,boulevard Auguste Blanqui,48.83067,2.353218
boulevard Saint Germain,boulevard Saint Germain,243 boulevard Saint Germain NO-SE,48.86179,2.32014
Totem 64 Rue de Rivoli,Totem 64 Rue de Rivoli,Totem 64 Rue de Rivoli,48.85735,2.35211
avenue de Flandre,avenue de Flandre,avenue de Flandre,48.88915,2.374796
avenue de la Porte de Bagnolet,avenue de la Porte de Bagnolet,2 avenue de la Porte de Bagnolet O-E,48.86451,2.40932
rue Lecourbe,rue Lecourbe,rue Lecourbe,48.842125,2.301075
avenue d'Italie,avenue d'Italie,avenue d'Italie,48.82025,2.3591
avenue des Champs Elysées,avenue des Champs Elysées,avenue des Champs Elysées,48.86985,2.307248
Pont de la Concorde,Pont de la Concorde,Pont de la Concorde,48.86385,2.32
Pont des Invalides,Pont des Invalides,Pont des Invalides,48.86283,2.310477
avenue de la Porte D'Orléans,avenue de la Porte D'Orléans,3 avenue de la Porte D'Orléans S-N,48.82203,2.32545
Face au 8 avenue de la porte de Charenton,Face au 8 avenue de la porte de Charenton,Face au 8 avenue de la porte de Charenton,48.83033,2.400550838
rue de la Chapelle,rue de la Chapelle,72 rue de la Chapelle,48.89594,2.35953
Face au 4 avenue de la porte de Bagnolet,Face au 4 avenue de la porte de Bagnolet,Face au 4 avenue de la porte de Bagnolet,48.86461,2.40969
quai de Grenelle,quai de Grenelle,quai de Grenelle,48.85204,2.28589
Face au 40 quai D'Issy,Face au 40 quai D'Issy,Face au 40 quai D'Issy,48.83421,2.26542
Pont de Bercy,Pont de Bercy,Pont de Bercy,48.83848,2.37587
rue Turbigo,rue Turbigo,38 rue Turbigo NE-SO,48.86521,2.35358
Quai d'Orsay,Quai d'Orsay,Quai d'Orsay,48.86288,2.31179
quai de la Tournelle,quai de la Tournelle,quai de la Tournelle,48.85013,2.35423
