id,value
Amérique_0,1047
Amérique_1,1113
Amérique_2,1161
Amérique_3,1189
Amérique_4,1119
Amérique_5,1219
Amérique_6,1203
Archives_0,337
Archives_1,361
Archives_2,395
Archives_3,413
Archives_4,409
Archives_5,440
Archives_6,442
Arsenal_0,495
Arsenal_1,529
Arsenal_2,585
Arsenal_3,592
Arsenal_4,591
Arsenal_5,655
Arsenal_6,605
Arts-et-Métiers_0,488
Arts-et-Métiers_1,538
Arts-et-Métiers_2,601
Arts-et-Métiers_3,612
Arts-et-Métiers_4,643
Arts-et-Métiers_5,688
Arts-et-Métiers_6,660
Auteuil_0,1214
Auteuil_1,1400
Auteuil_2,1629
Auteuil_3,1641
Auteuil_4,1541
Auteuil_5,1624
Auteuil_6,1486
Batignolles_0,958
Batignolles_1,1137
Batignolles_2,1323
Batignolles_3,1296
Batignolles_4,1236
Batignolles_5,1319
Batignolles_6,1215
Bel-Air_0,1061
Bel-Air_1,1031
Bel-Air_2,1107
Bel-Air_3,1170
Bel-Air_4,1094
Bel-Air_5,1225
Bel-Air_6,1225
Belleville_0,652
Belleville_1,666
Belleville_2,683
Belleville_3,714
Belleville_4,718
Belleville_5,769
Belleville_6,796
Bercy_0,824
Bercy_1,990
Bercy_2,1039
Bercy_3,1104
Bercy_4,998
Bercy_5,1216
Bercy_6,960
Bonne-Nouvelle_0,466
Bonne-Nouvelle_1,572
Bonne-Nouvelle_2,604
Bonne-Nouvelle_3,632
Bonne-Nouvelle_4,637
Bonne-Nouvelle_5,685
Bonne-Nouvelle_6,608
Chaillot_0,227
Chaillot_1,472
Chaillot_2,533
Chaillot_3,541
Chaillot_4,497
Chaillot_5,529
Chaillot_6,315
Champs-Elysées_0,612
Champs-Elysées_1,971
Champs-Elysées_2,1135
Champs-Elysées_3,1124
Champs-Elysées_4,1028
Champs-Elysées_5,1176
Champs-Elysées_6,733
Charonne_0,1976
Charonne_1,2116
Charonne_2,2227
Charonne_3,2241
Charonne_4,2175
Charonne_5,2348
Charonne_6,2453
