id,value
Face 104 rue d'Aubervilliers_0,198.0
Face 104 rue d'Aubervilliers_1,675.0
Face 104 rue d'Aubervilliers_2,729.0
Face 104 rue d'Aubervilliers_3,703.0
Face 104 rue d'Aubervilliers_4,658.0
Face 104 rue d'Aubervilliers_5,570.0
Face 104 rue d'Aubervilliers_6,246.0
Face au 25 quai de l'Oise_0,393.0
Face au 25 quai de l'Oise_1,1201.0
Face au 25 quai de l'Oise_2,1301.0
Face au 25 quai de l'Oise_3,1256.0
Face au 25 quai de l'Oise_4,1181.0
Face au 25 quai de l'Oise_5,1150.0
Face au 25 quai de l'Oise_6,429.0
Face au 4 avenue de la porte de Bagnolet_0,176.0
Face au 4 avenue de la porte de Bagnolet_1,655.0
Face au 4 avenue de la porte de Bagnolet_2,711.0
Face au 4 avenue de la porte de Bagnolet_3,639.0
Face au 4 avenue de la porte de Bagnolet_4,619.0
Face au 4 avenue de la porte de Bagnolet_5,608.0
Face au 4 avenue de la porte de Bagnolet_6,248.0
Face au 40 quai D'Issy_0,82.0
Face au 40 quai D'Issy_1,213.0
Face au 40 quai D'Issy_2,245.0
Face au 40 quai D'Issy_3,219.0
Face au 40 quai D'Issy_4,236.0
Face au 40 quai D'Issy_5,217.0
Face au 40 quai D'Issy_6,64.0
Face au 48 quai de la marne_0,723.0
Face au 48 quai de la marne_1,1967.0
Face au 48 quai de la marne_2,2248.0
Face au 48 quai de la marne_3,2126.0
Face au 48 quai de la marne_4,1958.0
Face au 48 quai de la marne_5,1899.0
Face au 48 quai de la marne_6,747.0
Face au 70 quai de Bercy_0,217.0
Face au 70 quai de Bercy_1,1100.0
Face au 70 quai de Bercy_2,1211.0
Face au 70 quai de Bercy_3,1141.0
Face au 70 quai de Bercy_4,1100.0
Face au 70 quai de Bercy_5,1075.0
Face au 70 quai de Bercy_6,246.0
Face au 8 avenue de la porte de Charenton_0,259.0
Face au 8 avenue de la porte de Charenton_1,1132.0
Face au 8 avenue de la porte de Charenton_2,1184.0
Face au 8 avenue de la porte de Charenton_3,1079.0
Face au 8 avenue de la porte de Charenton_4,1001.0
Face au 8 avenue de la porte de Charenton_5,955.0
Face au 8 avenue de la porte de Charenton_6,269.0
Pont National_0,285.0
Pont National_1,1224.0
Pont National_2,1376.0
Pont National_3,1262.0
Pont National_4,1240.0
Pont National_5,1146.0
Pont National_6,296.0
Pont de Bercy_0,241.0
Pont de Bercy_1,1065.0
Pont de Bercy_2,1176.0
Pont de Bercy_3,1137.0
Pont de Bercy_4,1017.0
Pont de Bercy_5,993.0
Pont de Bercy_6,252.0
Pont de la Concorde_0,425.0
Pont de la Concorde_1,1574.0
Pont de la Concorde_2,1756.0
Pont de la Concorde_3,1715.0
Pont de la Concorde_4,1555.0
Pont de la Concorde_5,1522.0
Pont de la Concorde_6,496.0
Pont des Invalides_0,145.0
Pont des Invalides_1,584.0
Pont des Invalides_2,651.0
Pont des Invalides_3,613.0
Pont des Invalides_4,584.0
Pont des Invalides_5,605.0
Pont des Invalides_6,165.0
Pont du Garigliano_0,345.0
Pont du Garigliano_1,1287.0
Pont du Garigliano_2,1363.0
Pont du Garigliano_3,1341.0
Pont du Garigliano_4,1216.0
Pont du Garigliano_5,1183.0
Pont du Garigliano_6,346.0
Porte des Ternes_0,141.0
Porte des Ternes_1,611.0
Porte des Ternes_2,656.0
Porte des Ternes_3,636.0
Porte des Ternes_4,576.0
Porte des Ternes_5,561.0
Porte des Ternes_6,139.0
Quai d'Orsay_0,473.0
Quai d'Orsay_1,1286.0
Quai d'Orsay_2,1431.0
Quai d'Orsay_3,1459.0
Quai d'Orsay_4,1268.0
Quai d'Orsay_5,1342.0
Quai d'Orsay_6,608.0
Totem 64 Rue de Rivoli_0,880.0
Totem 64 Rue de Rivoli_1,1918.0
Totem 64 Rue de Rivoli_2,2158.0
Totem 64 Rue de Rivoli_3,2152.0
Totem 64 Rue de Rivoli_4,1974.0
Totem 64 Rue de Rivoli_5,1916.0
Totem 64 Rue de Rivoli_6,1166.0
Voie Georges Pompidou_0,314.0
Voie Georges Pompidou_1,1483.0
Voie Georges Pompidou_2,1677.0
Voie Georges Pompidou_3,1613.0
Voie Georges Pompidou_4,1451.0
Voie Georges Pompidou_5,1444.0
Voie Georges Pompidou_6,324.0
avenue Daumesnil_0,231.0
avenue Daumesnil_1,534.0
avenue Daumesnil_2,590.0
avenue Daumesnil_3,542.0
avenue Daumesnil_4,495.0
avenue Daumesnil_5,489.0
avenue Daumesnil_6,265.0
avenue Denfert Rochereau_0,276.0
avenue Denfert Rochereau_1,494.0
avenue Denfert Rochereau_2,585.0
avenue Denfert Rochereau_3,572.0
avenue Denfert Rochereau_4,538.0
avenue Denfert Rochereau_5,498.0
avenue Denfert Rochereau_6,361.0
avenue d'Italie_0,264.0
avenue d'Italie_1,941.0
avenue d'Italie_2,952.0
avenue d'Italie_3,911.0
avenue d'Italie_4,846.0
avenue d'Italie_5,849.0
avenue d'Italie_6,380.0
avenue de Flandre_0,410.0
avenue de Flandre_1,1054.0
avenue de Flandre_2,1194.0
avenue de Flandre_3,1151.0
avenue de Flandre_4,1093.0
avenue de Flandre_5,1002.0
avenue de Flandre_6,493.0
avenue de la Grande Armée_0,171.0
avenue de la Grande Armée_1,552.0
avenue de la Grande Armée_2,621.0
avenue de la Grande Armée_3,597.0
avenue de la Grande Armée_4,549.0
avenue de la Grande Armée_5,548.0
avenue de la Grande Armée_6,196.0
avenue de la Porte D'Orléans_0,52.0
avenue de la Porte D'Orléans_1,70.0
avenue de la Porte D'Orléans_2,90.0
avenue de la Porte D'Orléans_3,84.0
avenue de la Porte D'Orléans_4,83.0
avenue de la Porte D'Orléans_5,95.0
avenue de la Porte D'Orléans_6,63.0
avenue de la Porte de Bagnolet_0,157.0
avenue de la Porte de Bagnolet_1,276.0
avenue de la Porte de Bagnolet_2,237.0
avenue de la Porte de Bagnolet_3,277.0
avenue de la Porte de Bagnolet_4,220.0
avenue de la Porte de Bagnolet_5,187.0
avenue de la Porte de Bagnolet_6,148.0
avenue des Champs Elysées_0,281.0
avenue des Champs Elysées_1,939.0
avenue des Champs Elysées_2,1019.0
avenue des Champs Elysées_3,1024.0
avenue des Champs Elysées_4,935.0
avenue des Champs Elysées_5,930.0
avenue des Champs Elysées_6,331.0
boulevard Auguste Blanqui_0,199.0
boulevard Auguste Blanqui_1,803.0
boulevard Auguste Blanqui_2,765.0
boulevard Auguste Blanqui_3,873.0
boulevard Auguste Blanqui_4,801.0
boulevard Auguste Blanqui_5,619.0
boulevard Auguste Blanqui_6,307.0
boulevard Diderot_0,231.0
boulevard Diderot_1,787.0
boulevard Diderot_2,921.0
boulevard Diderot_3,884.0
boulevard Diderot_4,839.0
boulevard Diderot_5,756.0
boulevard Diderot_6,318.0
boulevard Richard Lenoir_0,736.0
boulevard Richard Lenoir_1,2610.0
boulevard Richard Lenoir_2,2932.0
boulevard Richard Lenoir_3,2818.0
boulevard Richard Lenoir_4,2499.0
boulevard Richard Lenoir_5,2473.0
boulevard Richard Lenoir_6,962.0
boulevard Saint Germain_0,165.0
boulevard Saint Germain_1,622.0
boulevard Saint Germain_2,687.0
boulevard Saint Germain_3,676.0
boulevard Saint Germain_4,594.0
boulevard Saint Germain_5,591.0
boulevard Saint Germain_6,232.0
boulevard Voltaire_0,759.0
boulevard Voltaire_1,2545.0
boulevard Voltaire_2,2851.0
boulevard Voltaire_3,2944.0
boulevard Voltaire_4,2635.0
boulevard Voltaire_5,2415.0
boulevard Voltaire_6,909.0
boulevard de Magenta_0,1016.0
boulevard de Magenta_1,2785.0
boulevard de Magenta_2,3051.0
boulevard de Magenta_3,3066.0
boulevard de Magenta_4,2875.0
boulevard de Magenta_5,2581.0
boulevard de Magenta_6,1330.0
boulevard du Montparnasse_0,243.0
boulevard du Montparnasse_1,1046.0
boulevard du Montparnasse_2,1180.0
boulevard du Montparnasse_3,1149.0
boulevard du Montparnasse_4,1079.0
boulevard du Montparnasse_5,993.0
boulevard du Montparnasse_6,312.0
quai François Mauriac_0,266.0
quai François Mauriac_1,1228.0
quai François Mauriac_2,1383.0
quai François Mauriac_3,1304.0
quai François Mauriac_4,1227.0
quai François Mauriac_5,1203.0
quai François Mauriac_6,337.0
quai de Grenelle_0,348.0
quai de Grenelle_1,1232.0
quai de Grenelle_2,1348.0
quai de Grenelle_3,1335.0
quai de Grenelle_4,1155.0
quai de Grenelle_5,1248.0
quai de Grenelle_6,406.0
quai de l'hotel de ville_0,282.0
quai de l'hotel de ville_1,730.0
quai de l'hotel de ville_2,749.0
quai de l'hotel de ville_3,765.0
quai de l'hotel de ville_4,699.0
quai de l'hotel de ville_5,697.0
quai de l'hotel de ville_6,310.0
quai de la Tournelle_0,439.0
quai de la Tournelle_1,1283.0
quai de la Tournelle_2,1369.0
quai de la Tournelle_3,1382.0
quai de la Tournelle_4,1265.0
quai de la Tournelle_5,1227.0
quai de la Tournelle_6,531.0
rue Julia Bartet_0,267.0
rue Julia Bartet_1,1740.0
rue Julia Bartet_2,1888.0
rue Julia Bartet_3,1696.0
rue Julia Bartet_4,1647.0
rue Julia Bartet_5,1579.0
rue Julia Bartet_6,347.0
rue La Fayette_0,462.0
rue La Fayette_1,2092.0
rue La Fayette_2,2299.0
rue La Fayette_3,2230.0
rue La Fayette_4,2060.0
rue La Fayette_5,1941.0
rue La Fayette_6,574.0
rue Lecourbe_0,302.0
rue Lecourbe_1,982.0
rue Lecourbe_2,1120.0
rue Lecourbe_3,1084.0
rue Lecourbe_4,979.0
rue Lecourbe_5,989.0
rue Lecourbe_6,424.0
rue Turbigo_0,473.0
rue Turbigo_1,1483.0
rue Turbigo_2,1574.0
rue Turbigo_3,1632.0
rue Turbigo_4,1452.0
rue Turbigo_5,1300.0
rue Turbigo_6,701.0
rue de la Chapelle_0,87.0
rue de la Chapelle_1,151.0
rue de la Chapelle_2,153.0
rue de la Chapelle_3,142.0
rue de la Chapelle_4,137.0
rue de la Chapelle_5,138.0
rue de la Chapelle_6,98.0
