id,value
Amérique_0,1109
Amérique_1,1173
Amérique_2,1178
Amérique_3,1218
Amérique_4,1176
Amérique_5,1219
Amérique_6,1192
Archives_0,328
Archives_1,346
Archives_2,382
Archives_3,380
Archives_4,382
Archives_5,411
Archives_6,417
Arsenal_0,583
Arsenal_1,561
Arsenal_2,600
Arsenal_3,609
Arsenal_4,601
Arsenal_5,633
Arsenal_6,632
Arts-et-Métiers_0,438
Arts-et-Métiers_1,517
Arts-et-Métiers_2,557
Arts-et-Métiers_3,570
Arts-et-Métiers_4,568
Arts-et-Métiers_5,601
Arts-et-Métiers_6,581
Auteuil_0,1417
Auteuil_1,1510
Auteuil_2,1636
Auteuil_3,1665
Auteuil_4,1583
Auteuil_5,1603
Auteuil_6,1584
Batignolles_0,968
Batignolles_1,1092
Batignolles_2,1216
Batignolles_3,1198
Batignolles_4,1162
Batignolles_5,1186
Batignolles_6,1157
Bel-Air_0,1282
Bel-Air_1,1216
Bel-Air_2,1240
Bel-Air_3,1302
Bel-Air_4,1226
Bel-Air_5,1290
Bel-Air_6,1359
Belleville_0,745
Belleville_1,773
Belleville_2,781
Belleville_3,781
Belleville_4,787
Belleville_5,825
Belleville_6,866
Bercy_0,745
Bercy_1,884
Bercy_2,921
Bercy_3,949
Bercy_4,896
Bercy_5,985
Bercy_6,868
Bonne-Nouvelle_0,465
Bonne-Nouvelle_1,537
Bonne-Nouvelle_2,598
Bonne-Nouvelle_3,604
Bonne-Nouvelle_4,590
Bonne-Nouvelle_5,621
Bonne-Nouvelle_6,587
Chaillot_0,265
Chaillot_1,438
Chaillot_2,476
Chaillot_3,475
Chaillot_4,455
Chaillot_5,451
Chaillot_6,316
Champs-Elysées_0,606
Champs-Elysées_1,837
Champs-Elysées_2,925
Champs-Elysées_3,924
Champs-Elysées_4,880
Champs-Elysées_5,914
Champs-Elysées_6,657
Charonne_0,2070
Charonne_1,2199
Charonne_2,2265
Charonne_3,2266
Charonne_4,2188
Charonne_5,2309
Charonne_6,2431
Chaussée-d'Antin_0,634
Chaussée-d'Antin_1,1031
Chaussée-d'Antin_2,1112
Chaussée-d'Antin_3,1118
Chaussée-d'Antin_4,1067
Chaussée-d'Antin_5,1112
Chaussée-d'Antin_6,902
Clignancourt_0,1962
