id,value
VZS_ANDR_1,670
VZS_ANDR_2,603
VZS_ANDR_3,650
VZS_ANDR_4,720
VZS_ANDR_5,611
VZS_ANDR_6,321
VZS_ANDR_7,317
VZS_BERT_1,1205
VZS_BERT_2,1179
VZS_BERT_3,1190
VZS_BERT_4,1282
VZS_BERT_5,1159
VZS_BERT_6,799
VZS_BERT_7,599
VZS_BINZ_1,505.5
VZS_BINZ_2,381
VZS_BINZ_3,524
VZS_BINZ_4,486.5
VZS_BINZ_5,486
VZS_BINZ_6,223
VZS_BINZ_7,188
VZS_BUCH_1,2468
VZS_BUCH_2,2572
VZS_BUCH_3,2368
VZS_BUCH_4,2564
VZS_BUCH_5,2234
VZS_BUCH_6,1194
VZS_BUCH_7,980
VZS_HAR*_1,3069
VZS_HAR*_2,3193
VZS_HAR*_3,3243
VZS_HAR*_4,3236
VZS_HAR*_5,2756
VZS_HAR*_6,1663
VZS_HAR*_7,1362
VZS_HOFW_1,1478
VZS_HOFW_2,1520
VZS_HOFW_3,1488
VZS_HOFW_4,1600
VZS_HOFW_5,1392
VZS_HOFW_6,730
VZS_HOFW_7,532
VZS_LAN*_1,6911
VZS_LAN*_2,7391
VZS_LAN*_3,7406
VZS_LAN*_4,7721
VZS_LAN*_5,7049
VZS_LAN*_6,4924
VZS_LAN*_7,3149
VZS_LIM*_1,1716
VZS_LIM*_2,1841
VZS_LIM*_3,1846
VZS_LIM*_4,1934
VZS_LIM*_5,1687
VZS_LIM*_6,995
VZS_LIM*_7,697
VZS_LUXG_1,802
VZS_LUXG_2,830
VZS_LUXG_3,847
VZS_LUXG_4,861
VZS_LUXG_5,759
VZS_LUXG_6,460
VZS_LUXG_7,379
VZS_MILI_1,861
VZS_MILI_2,925
VZS_MILI_3,860
VZS_MILI_4,1022
VZS_MILI_5,896
VZS_MILI_6,510
VZS_MILI_7,270
VZS_MUEH_1,1401
VZS_MUEH_2,1488
VZS_MUEH_3,1491
VZS_MUEH_4,1413
VZS_MUEH_5,1333
VZS_MUEH_6,595
VZS_MUEH_7,438
VZS_MYTH_1,925
VZS_MYTH_2,1021
VZS_MYTH_3,901
VZS_MYTH_4,1010
VZS_MYTH_5,880
VZS_MYTH_6,629
VZS_MYTH_7,540
VZS_SCHE_1,1441.5
VZS_SCHE_2,1379.5
VZS_SCHE_3,1448
VZS_SCHE_4,1438
VZS_SCHE_5,1326
VZS_SCHE_6,549.5
VZS_SCHE_7,490.5
VZS_SCHU_1,184.5
VZS_SCHU_2,171
VZS_SCHU_3,217.5
VZS_SCHU_4,219
VZS_SCHU_5,232.5
VZS_SCHU_6,225.5
VZS_SCHU_7,71.5
VZS_SIHL_1,2017
VZS_SIHL_2,2065
VZS_SIHL_3,2011
VZS_SIHL_4,2047
VZS_SIHL_5,1771
VZS_SIHL_6,885
VZS_SIHL_7,622
VZS_TALS_1,484
VZS_TALS_2,482
VZS_TALS_3,533
VZS_TALS_4,544
VZS_TALS_5,473
VZS_TALS_6,282
VZS_TALS_7,176
VZS_TOED_1,275
VZS_TOED_2,201
VZS_TOED_3,279
VZS_TOED_4,287
VZS_TOED_5,204
VZS_TOED_6,72
VZS_TOED_7,69
VZS_ZOLL_1,1683
VZS_ZOLL_2,1905
VZS_ZOLL_3,1814
VZS_ZOLL_4,1758
VZS_ZOLL_5,1701
VZS_ZOLL_6,1179
VZS_ZOLL_7,970
