id,value
FZS_ALT*_1,5318
FZS_ALT*_2,5571
FZS_ALT*_3,5327
FZS_ALT*_4,5589
FZS_ALT*_5,5515
FZS_ALT*_6,3216
FZS_ALT*_7,2456
FZS_ARBO_1,2647
FZS_ARBO_2,2655
FZS_ARBO_3,2561
FZS_ARBO_4,3069
FZS_ARBO_5,2671
FZS_ARBO_6,3061
FZS_ARBO_7,3845
FZS_CASS_1,479
FZS_CASS_2,483
FZS_CASS_3,564
FZS_CASS_4,662
FZS_CASS_5,491
FZS_CASS_6,686
FZS_CASS_7,1520
FZS_HARD_1,2663
FZS_HARD_2,2443
FZS_HARD_3,2514
FZS_HARD_4,2789
FZS_HARD_5,2566
FZS_HARD_6,1785
FZS_HARD_7,2119
FZS_KATZ_1,523
FZS_KATZ_2,292
FZS_KATZ_3,452
FZS_KATZ_4,398
FZS_LAN*_1,12010
FZS_LAN*_2,12458
FZS_LAN*_3,12583
FZS_LAN*_4,13468
FZS_LAN*_5,14573
FZS_LAN*_6,13972
FZS_LAN*_7,8461
FZS_LETD_1,1297
FZS_LETD_2,1112
FZS_LETD_3,1340
FZS_LETD_4,1648
FZS_LETD_5,1256
FZS_LETD_6,1632
FZS_LETD_7,3199
FZS_LIMM_1,4552
FZS_LIMM_2,5132
FZS_LIMM_3,4982
FZS_LIMM_4,5213
FZS_LIMM_5,6315
FZS_LIMM_6,7379
FZS_LIMM_7,3833
FZS_MILI_1,3010
FZS_MILI_2,2770
FZS_MILI_3,2983
FZS_MILI_4,3432
FZS_MILI_5,3492
FZS_MILI_6,2445
FZS_MILI_7,1159
FZS_MYTH_1,348
FZS_MYTH_2,374
FZS_MYTH_3,390
FZS_MYTH_4,444
FZS_MYTH_5,379
FZS_MYTH_6,430
FZS_MYTH_7,646
FZS_OHM*_1,9373
FZS_OHM*_2,9428
FZS_OHM*_3,9653
FZS_OHM*_4,10582
FZS_OHM*_5,10702
FZS_OHM*_6,9204
FZS_OHM*_7,4087
FZS_ZEHN_1,1973
FZS_ZEHN_2,2132
FZS_ZEHN_3,1991
FZS_ZEHN_4,2070
FZS_ZEHN_5,2074
FZS_ZEHN_6,1994
FZS_ZEHN_7,961
