date,station,id,count
2020-01-01,71,71_3,5341
2020-01-02,71,71_4,8975
2020-01-03,71,71_5,12252
2020-01-04,71,71_6,15914
2020-01-05,71,71_7,3402
2020-01-06,71,71_1,6941
2020-01-07,71,71_2,8678
2020-01-08,71,71_3,5517
2020-01-09,71,71_4,5640
2020-01-10,71,71_5,9616
2020-01-11,71,71_6,17352
2020-01-12,71,71_7,3182
2020-01-13,71,71_1,5402
2020-01-14,71,71_2,7449
2020-01-15,71,71_3,7192
2020-01-16,71,71_4,7095
2020-01-17,71,71_5,8252
2020-01-18,71,71_6,16119
2020-01-19,71,71_7,3585
2020-01-20,71,71_1,6190
2020-01-21,71,71_2,8045
2020-01-22,71,71_3,4956
2020-01-23,71,71_4,5835
2020-01-24,71,71_5,8858
2020-01-25,71,71_6,14951
2020-01-26,71,71_7,2799
2020-01-27,71,71_1,4623
2020-01-28,71,71_2,6114
2020-01-29,71,71_3,5927
2020-01-30,71,71_4,7289
2020-01-31,71,71_5,11074
2020-02-01,71,71_6,12648
2020-02-02,71,71_7,3050
2020-02-03,71,71_1,6367
2020-02-04,71,71_2,7206
2020-02-05,71,71_3,7129
2020-02-06,71,71_4,6465
2020-02-07,71,71_5,10499
2020-02-08,71,71_6,16722
2020-02-09,71,71_7,2574
2020-02-10,71,71_1,4046
2020-02-11,71,71_2,6871
2020-02-12,71,71_3,5885
2020-02-13,71,71_4,5561
2020-02-14,71,71_5,11740
2020-02-15,71,71_6,19676
2020-02-16,71,71_7,3812
2020-02-17,71,71_1,6443
2020-02-18,71,71_2,8844
2020-02-19,71,71_3,7182
2020-02-20,71,71_4,7269
2020-02-21,71,71_5,11006
2020-02-22,71,71_6,15456
2020-02-23,71,71_7,7816
2020-02-24,71,71_1,14039
2020-02-25,71,71_2,7109
2020-02-26,71,71_3,5365
2020-02-27,71,71_4,3372
2020-02-28,71,71_5,9806
2020-02-29,71,71_6,14645
2020-03-01,71,71_7,3328
2020-03-02,71,71_1,5915
2020-03-03,71,71_2,8011
2020-03-04,71,71_3,5953
2020-03-05,71,71_4,3728
2020-03-06,71,71_5,7655
2020-03-07,71,71_6,18029
2020-03-08,71,71_7,3614
2020-03-09,71,71_1,6226
2020-03-10,71,71_2,4632
2020-03-11,71,71_3,6210
2020-03-12,71,71_4,5609
2020-03-13,71,71_5,8035
2020-03-14,71,71_6,11722
2020-03-15,71,71_7,2679
2020-03-16,71,71_1,4730
2020-03-17,71,71_2,5797
2020-03-18,71,71_3,3111
2020-03-19,71,71_4,2607
2020-03-20,71,71_5,4246
2020-03-21,71,71_6,3222
2020-03-22,71,71_7,984
2020-03-23,71,71_1,1721
2020-03-24,71,71_2,3129
2020-03-25,71,71_3,1532
2020-03-26,71,71_4,1663
2020-03-27,71,71_5,3557
2020-03-28,71,71_6,3680
2020-03-29,71,71_7,937
2020-03-30,71,71_1,1675
2020-03-31,71,71_2,2919
2020-04-01,71,71_3,1824
2020-04-02,71,71_4,1778
2020-04-03,71,71_5,3288
2020-04-04,71,71_6,3879
2020-04-05,71,71_7,1343
2020-04-06,71,71_1,2116
2020-04-07,71,71_2,3554
2020-04-08,71,71_3,2138
2020-04-09,71,71_4,3490
2020-04-10,71,71_5,1251
2020-04-11,71,71_6,4882
2020-04-12,71,71_7,1145
2020-04-13,71,71_1,1083
2020-04-14,71,71_2,2947
2020-04-15,71,71_3,2053
2020-04-16,71,71_4,2379
2020-04-17,71,71_5,4064
2020-04-18,71,71_6,4803
2020-04-19,71,71_7,1847
2020-04-20,71,71_1,4703
2020-04-21,71,71_2,6104
2020-04-22,71,71_3,4399
2020-04-23,71,71_4,4541
2020-04-24,71,71_5,6252
2020-04-25,71,71_6,8167
2020-04-26,71,71_7,1838
2020-04-27,71,71_1,4147
2020-04-28,71,71_2,4625
2020-04-29,71,71_3,4120
2020-04-30,71,71_4,4826
2020-05-01,71,71_5,1546
2020-05-02,71,71_6,9258
2020-05-03,71,71_7,2035
2020-05-04,71,71_1,4124
2020-05-05,71,71_2,6340
2020-05-06,71,71_3,5160
2020-05-07,71,71_4,5126
